ID	DOCULECT	PARAMETER	VALUE	IPA	TOKENS	ALIGNMENT	COGID	NOTE
130	Dutch	*marōn	nachtmerrie	nɑxtmɛriː	n ɑ x t m ɛ r iː	( n ɑ x t ) m ɛ r ( iː - )	36	
131	Proto-Germanic	*grabanan	*grabanan	grabanan	g r a b a n a n	g r a b a n ( a n )	37	
132	German	*grabanan	graben	ɡraːbən	g r aː b ə n	g r aː b ə n ( - - )	37	
133	English	*grabanan	grave	ɡrɑːv	g r ɑː v	g r ɑː v - - ( - - )	37	
134	Dutch	*grabanan	graven	xraːvə	x r aː v ə	x r aː v ə - ( - - )	37	
135	Proto-Germanic	*sakō	*sakō	sakoː	s a k oː	s a k oː	38	
136	German	*sakō	Sache	zaxə	z a x ə	z a x ə	38	
137	English	*sakō	sake	sɑːkɪ	s ɑː k ɪ	s eɪ k -	38	
138	Dutch	*sakō	zaak	zaːk	z aː k	z aː k -	38	
139	Proto-Germanic	*wiraz	*wiraz	wiraz	w i r a z	w i r ( a z )	39	
140	German	*wiraz	Wehr	veːr	v eː r	v eː r ( - - )	39	
141	Dutch	*wiraz	weer	ʋeːr	ʋ eː r	ʋ eː r ( - - )	39	
142	Proto-Germanic	*θarmaz	*θarmaz	θarmaz	θ a r m a z	θ a r m ( a z )	40	
143	German	*θarmaz	Darm	darm	d a r m	d a r m ( - - )	40	
144	Dutch	*θarmaz	darm	dɑrm	d ɑ r m	d ɑ r m ( - - )	40	
145	Proto-Germanic	*grōbō	*grōbō	groːboː	g r oː b oː	g r oː b oː	41	
146	German	*grōbō	Grube	ɡruːbə	g r uː b ə	g r uː b ə	41	
147	Dutch	*grōbō	groeve	xruːvə	x r uː v ə	x r uː v ə	41	
148	Proto-Germanic	*knabilaz	*knabilaz	knabilaz	k n a b i l a z	k n a b i l ( a z )	42	
149	German	*knabilaz	Knebel	kneːbəl	k n eː b ə l	k n eː b ə l ( - - )	42	
150	Dutch	*knabilaz	knevel	kneːvəl	k n eː v ə l	k n eː v ə l ( - - )	42	
151	Proto-Germanic	*xattuz	*xattuz	xattuz	x oː d a z	x oː d ( a z )	43	
152	German	*xattuz	Hut	huːt	h uː t	h uː t ( - - )	43	
153	English	*xattuz	hood	hʊd	h ʊ d	h ʊ d ( - - )	43	
154	Proto-Germanic	*brunnōn	*brunnōn	brunnoːn	b r u nn oː n	b r u nn oː n	44	
155	German	*brunnōn	Brunnen	brʊnən	b r ʊ n ə n	b r ʊ n ə n	44	
156	Dutch	*brunnōn	bron	brɔn	b r ɔ n	b r ɔ n - -	44	
157	Proto-Germanic	*fextanan	*fextanan	fextanan	f e x t a n a n	f e x t a n ( a n )	45	
158	German	*fextanan	fechten	fɛxtən	f ɛ x t ə n	f ɛ x t ə n ( - - )	45	
159	English	*fextanan	fight	faɪt	f aɪ t	f aɪ - t - - ( - - )	45	
160	Dutch	*fextanan	vechten	vɛxtə	v ɛ x t ə	v ɛ x t ə - ( - - )	45	
161	Proto-Germanic	*wakjanan	*wakjanan	wakjanan	w a k j a n a n	w a k j a n ( a n )	46	
162	German	*wakjanan	wecken	vɛkən	v ɛ k ə n	v ɛ k - ə n ( - - )	46	
163	Dutch	*wakjanan	wekken	ʋɛkə	ʋ ɛ k ə	ʋ ɛ k - ə - ( - - )	46	
164	Proto-Germanic	*rīdanan	*rīdanan	riːdanan	r iː d a n a n	r iː d a n ( a n )	47	
165	German	*rīdanan	reiten	raitən	r ai t ə n	r ai t ə n ( - - )	47	
166	English	*rīdanan	ride	raɪd	r aɪ d	r aɪ d - - ( - - )	47	
167	Dutch	*rīdanan	rijden	rɛɪdə	r ɛɪ d ə	r ɛɪ d ə - ( - - )	47	
168	Proto-Germanic	*xitō	*xitō	xitoː	x i t oː	x i t j oː	48	
169	German	*xitō	Hitze	hɪt͡sə	h ɪ ts ə	h ɪ ts - ə	48	
170	Dutch	*xitō	hitte	hɪtə	h ɪ t ə	h ɪ t - ə	48	
171	Proto-Germanic	*mōsan	*mōsan	moːsan	m oː s a n	m oː s ( a n )	49	
172	German	*mōsan	Mus	muːs	m uː s	m uː s ( - - )	49	
173	Dutch	*mōsan	moes	muːs	m uː s	m uː s ( - - )	49	
174	Proto-Germanic	*sebun	*sebun	sebun	s e b u n	s e b u n	50	
175	German	*sebun	sieben	ziːbən	z iː b ə n	z iː b ə n	50	
176	English	*sebun	seven	sɛvṇ	s ɛ v ə n	s ɛ v ə n	50	
177	Dutch	*sebun	zeven	zeːvə	z eː v ə	z eː v ə -	50	
178	Proto-Germanic	*spennilō	*spennilō	spenniloː	s p e nn i l oː	s p e nn - i l ( oː )	51	
179	German	*spennilō	Spindel	ʃpɪndəl	ʃ p ɪ n d ə l	ʃ p ɪ n d ə l ( - )	51	
180	English	*spennilō	spindle	spɪndḷ	s p ɪ n d ə l	s p ɪ n d ə l ( - )	51	
181	Dutch	*spennilō	spil	spɪl	s p ɪ l	s p ɪ - - - l ( - )	51	
182	Proto-Germanic	*xrabnaz	*xrabnaz	xrabnaz	x r a b n a z	x r a b - n ( a z )	52	
183	German	*xrabnaz	Rabe	raːbə	r aː b ə	- r aː b ə - ( - - )	52	
184	English	*xrabnaz	raven	rævṇ	r æ v ə n	- r æ v ə n ( - - )	52	
185	Dutch	*xrabnaz	raaf	raːf	r aː f	- r aː f - - ( - - )	52	
186	Proto-Germanic	*xailjanan	*xailjanan	xailjanan	x ai l j a n a n	x ai l j a n ( a n )	53	
187	German	*xailjanan	heilen	hailən	h ai l ə n	h ai l - ə n ( - - )	53	
188	English	*xailjanan	heal	hiːl	h iː l	h iː l - - - ( - - )	53	
189	Dutch	*xailjanan	helen	heːlə	h eː l ə	h eː l - ə - ( - - )	53	
190	Proto-Germanic	*kalbaz	*kalbaz	kalbaz	k a l b a z	k a l b ( a z )	54	
191	German	*kalbaz	Kalb	kalp	k a l p	k a l b ( - - )	54	
192	English	*kalbaz	calf	kɑːf	k ɑː f	k ɑː - f ( - - )	54	
193	Dutch	*kalbaz	kalf	kɑlf	k ɑ l f	k ɑ l f ( - - )	54	
194	Proto-Germanic	*widuwōn	*widuwōn	widuwoːn	w i d u w oː n	w i d u w oː ( n )	55	
195	German	*widuwōn	Witwe	vɪtvə	v ɪ t v ə	v ɪ t - v ə ( - )	55	
196	English	*widuwōn	widow	ʋɪdəʊ	ʋ ɪ d əʊ	ʋ ɪ d əʊ - - ( - )	55	
197	Dutch	*widuwōn	weduwe	ʋeːdyːʋə	ʋ eː d yː ʋ ə	ʋ eː d yː ʋ ə ( - )	55	
198	Proto-Germanic	*gangaz	*gangaz	gangaz	g a n g a z	g a n g ( a z )	56	
199	German	*gangaz	Gang	ɡaŋ	g a ŋ	g a ŋ - ( - - )	56	
200	English	*gangaz	gang	ɡæŋ	g æ ŋ	g æ ŋ - ( - - )	56	
201	Dutch	*gangaz	gang	xɑŋ	x ɑ ŋ	x ɑ ŋ - ( - - )	56	
202	Proto-Germanic	*faranan	*faranan	faranan	f a r a n a n	f a r a n ( a n )	57	
203	German	*faranan	fahren	faːrən	f aː r ə n	f aː r ə n ( - - )	57	
204	English	*faranan	fare	fɛər	f ɛə r	f ɛə r - - ( - - )	57	
205	Dutch	*faranan	varen	vaːrə	v aː r ə	v aː r ə - ( - - )	57	
206	Proto-Germanic	*swerdan	*swerdan	swerdan	s w e r d a n	s w e r d ( a n )	58	
207	German	*swerdan	Schwert	ʃveːrt	ʃ v eː r t	ʃ v eː r t ( - - )	58	
208	English	*swerdan	sword	sɔːd	s ɔː d	s - ɔː - d ( - - )	58	
209	Dutch	*swerdan	zwaard	zʋaːrt	z ʋ aː r t	z ʋ aː r t ( - - )	58	
210	Proto-Germanic	*librō	*librō	libroː	l i b r oː	l i b - r ( oː )	59	
211	German	*librō	Leber	leːbər	l eː b ə r	l eː b ə r ( - )	59	
212	English	*librō	liver	lɪvər	l ɪ v ə r	l ɪ v ə r ( - )	59	
213	Dutch	*librō	lever	leːvər	l eː v ə r	l eː v ə r ( - )	59	
214	Proto-Germanic	*weljōn	*weljōn	weljoːn	w e l j oː n	w e l j oː ( n )	60	
215	German	*weljōn	Wille	vɪlə	v ɪ l ə	v ɪ l - ə ( - )	60	
216	English	*weljōn	will	ʋɪl	ʋ ɪ l	ʋ ɪ l - - ( - )	60	
217	Dutch	*weljōn	wil	ʋɪl	ʋ ɪ l	ʋ ɪ l - - ( - )	60	
218	Proto-Germanic	*bergan	*bergan	bergan	b e r g a n	b e r g ( a n )	61	
219	German	*bergan	Berg	bɛrk	b ɛ r k	b ɛ r g ( - - )	61	
220	English	*bergan	barrow	bærəʊ	b æ r əʊ	b æ r əʊ ( - - )	61	
221	Dutch	*bergan	berg	bɛrx	b ɛ r x	b ɛ r x ( - - )	61	
222	Proto-Germanic	*bōguz	*bōguz	boːguz	b oː g u z	b oː g ( u z )	62	
223	German	*bōguz	Bug	buːk	b uː k	b uː g ( - - )	62	
224	English	*bōguz	bough	baʊ	b aʊ	b aʊ - ( - - )	62	
225	Proto-Germanic	*θrejez	*θrejez	θrejez	θ r e j e z	θ r e j e z	63	
226	German	*θrejez	drei	drai	d r ai	d r ai - - -	63	
227	English	*θrejez	three	θriː	θ r iː	θ r iː - - -	63	
228	Dutch	*θrejez	drie	driː	d r iː	d r iː - - -	63	
229	Proto-Germanic	*sīdōn	*sīdōn	siːdoːn	s iː d oː n	s iː d oː ( n )	64	
230	German	*sīdōn	Seite	zaitə	z ai t ə	z ai t ə ( - )	64	
231	English	*sīdōn	side	saɪd	s aɪ d	s aɪ d - ( - )	64	
232	Proto-Germanic	*wurdan	*wurdan	wurdan	w u r d a n	w u r d ( a n )	65	
233	German	*wurdan	Wort	vɔrt	v ɔ r t	v ɔ r t ( - - )	65	
234	English	*wurdan	word	ʋɜːd	ʋ ɜː d	ʋ ɜː - d ( - - )	65	
235	Dutch	*wurdan	woord	ʋoːrt	ʋ oː r t	ʋ oː r t ( - - )	65	
236	Proto-Germanic	*mēlan	*mēlan	meːlan	m eː l a n	m eː l ( a n )	66	
237	German	*mēlan	Mal	maːl	m aː l	m aː l ( - - )	66	
238	English	*mēlan	meal	miːl	m iː l	m iː l ( - - )	66	
239	Dutch	*mēlan	maal	maːl	m aː l	m aː l ( - - )	66	
240	Proto-Germanic	*grīpanan	*grīpanan	griːpanan	g r iː p a n a n	g r iː p a n ( a n )	67	
241	German	*grīpanan	greifen	ɡraifən	g r ai f ə n	g r ai f ə n ( - - )	67	
242	English	*grīpanan	gripe	ɡraɪp	g r aɪ p	g r aɪ p - - ( - - )	67	
243	Dutch	*grīpanan	grijpen	xrɛɪpə	x r ɛɪ p ə	x r ɛɪ p ə - ( - - )	67	
244	Proto-Germanic	*xwerbilaz	*xwerbilaz	xwerbilaz	x w e r b i l a z	x w e r b i l ( a z )	68	
245	German	*xwerbilaz	Wirbel	vɪrbəl	v ɪ r b ə l	- v ɪ r b ə l ( - - )	68	
246	Dutch	*xwerbilaz	wervel	ʋɛrvəl	ʋ ɛ r v ə l	- ʋ ɛ r v ə l ( - - )	68	
247	Proto-Germanic	*fallanan	*fallanan	fallanan	f a ll a n a n	f a ll a n ( a n )	69	
248	German	*fallanan	fallen	falən	f a l ə n	f a l ə n ( - - )	69	
249	English	*fallanan	fall	fɔːl	f ɔː l	f ɔː l - - ( - - )	69	
250	Dutch	*fallanan	vallen	vɑlə	v ɑ l ə	v ɑ l ə - ( - - )	69	
251	Proto-Germanic	*xaubudan	*xaubudan	xaubudan	x au b u d a n	x au b ( u ) d ( a n )	70	
252	German	*xaubudan	Haupt	haupt	h au p t	h au p ( - ) t ( - - )	70	
253	English	*xaubudan	head	hɛd	h ɛ d	h ɛ - ( - ) d ( - - )	70	
254	Dutch	*xaubudan	hoofd	hoːft	h oː f t	h oː f ( - ) t ( - - )	70	
255	Proto-Germanic	*laiθaz	*laiθaz	laiθaz	l ai θ a z	l ai θ ( a z )	71	
256	German	*laiθaz	Leid	lait	l ai t	l ai d ( - - )	71	
257	English	*laiθaz	loath	ləʊθ	l əʊ θ	l əʊ θ ( - - )	71	
258	Dutch	*laiθaz	leed	leːt	l eː t	l eː t ( - - )	71	
259	Proto-Germanic	*bazjan	*bazjan	bazjan	b a z j a n	b a z j ( a n )	72	
260	German	*bazjan	Beere	beːrə	b eː r ə	b eː r - ( ə - )	72	
261	English	*bazjan	berry	bɛrɪ	b ɛ r ɪ	b ɛ r - ( ɪ - )	72	
262	Dutch	*bazjan	bes	bɛs	b ɛ s	b ɛ s - ( - - )	72	
263	Proto-Germanic	*laubjanan	*laubjanan	laubjanan	l au b j a n a n	( - - ) l au b j a n ( a n )	73	
264	German	*laubjanan	glauben	ɡlaubən	g l au b ə n	( g - ) l au b - ə n ( - - )	73	
265	English	*laubjanan	believe	bɪliːv	b ɪ l iː v	( b ɪ ) l iː v - - - ( - - )	73	
266	Dutch	*laubjanan	geloven	xəloːvə	x ə l oː v ə	( x ə ) l oː v - ə - ( - - )	73	
267	Proto-Germanic	*leuθan	*leuθan	leuθan	l eu θ a n	l eu θ ( a n )	74	
268	German	*leuθan	Lied	liːt	l iː t	l iː d ( - - )	74	
269	Dutch	*leuθan	lied	liːt	l iː t	l iː t ( - - )	74	
270	Proto-Germanic	*steuran	*steuran	steuran	s t eu r a n	s t eu - r ( a n )	75	
271	German	*steuran	Steuer	ʃtɔyər	ʃ t ɔy ə r	ʃ t ɔy ə r ( - - )	75	
272	Dutch	*steuran	stuur	styːr	s t yː r	s t yː - r ( - - )	75	
273	Proto-Germanic	*wentruz	*wentruz	wentruz	w e n t r u z	w e n t - r ( u z )	76	
274	German	*wentruz	Winter	vɪntər	v ɪ n t ə r	v ɪ n t ə r ( - - )	76	
275	English	*wentruz	winter	ʋɪntər	ʋ ɪ n t ə r	ʋ ɪ n t ə r ( - - )	76	
276	Dutch	*wentruz	winter	ʋɪntər	ʋ ɪ n t ə r	ʋ ɪ n t ə r ( - - )	76	
277	Proto-Germanic	*skalkaz	*skalkaz	skalkaz	s k a l k a z	s k a l k ( a z )	77	
278	German	*skalkaz	Schalk	ʃalk	ʃ a l k	ʃ - a l k ( - - )	77	
279	Dutch	*skalkaz	schalk	sxɑlk	s x ɑ l k	s x ɑ l k ( - - )	77	
280	Proto-Germanic	*malanan	*malanan	malanan	m a l a n a n	m a l a n ( a n )	78	
281	German	*malanan	mahlen	maːlən	m aː l ə n	m aː l ə n ( - - )	78	
282	Dutch	*malanan	malen	maːlə	m aː l ə	m aː l ə - ( - - )	78	
283	Proto-Germanic	*raisō	*raisō	raisoː	r ai s oː	r ai s oː	79	
284	German	*raisō	Reise	raizə	r ai z ə	r ai z ə	79	
285	Dutch	*raisō	reis	rɛɪs	r ɛɪ s	r ɛɪ s -	79	
286	Proto-Germanic	*rausan	*rausan	rausan	r au s a n	r au s ( a n )	80	
287	German	*rausan	Rohr	roːr	r oː r	r oː r ( - - )	80	
288	Dutch	*rausan	roer	ruːr	r uː r	r uː r ( - - )	80	
289	Proto-Germanic	*xanxistaz	*xanxistaz	xanxistaz	x a n x i s t a z	x a n x ( i ) s t ( a z )	81	
290	German	*xanxistaz	Hengst	hɛŋst	h ɛ ŋ s t	h ɛ ŋ - ( - ) s t ( - - )	81	
291	Dutch	*xanxistaz	hengst	hɛŋst	h ɛ ŋ s t	h ɛ ŋ - ( - ) s t ( - - )	81	
292	Proto-Germanic	*brūdiz	*brūdiz	bruːdiz	b r uː d i z	b r uː d ( i z )	82	
293	German	*brūdiz	Braut	braut	b r au t	b r au t ( - - )	82	
294	English	*brūdiz	bride	braɪd	b r aɪ d	b r aɪ d ( - - )	82	
295	Dutch	*brūdiz	bruid	brœyt	b r œy t	b r œy t ( - - )	82	
296	Proto-Germanic	*neurōn	*neurōn	neuroːn	n eu r oː n	n eu r oː ( n )	83	
297	German	*neurōn	Niere	niːrə	n iː r ə	n iː r ə ( - )	83	
298	Dutch	*neurōn	nier	niːr	n iː r	n iː r - ( - )	83	
