ID	DOCULECT	GLOTTOCODE	COGID	PARAMETER	VALUE	SEGMENTS	ALIGNMENT	SOURCE
83	Latin	lati1261	41	altariu-otero	altariu	ɑ l t ɑ ɾ iu	ɑ l t ɑ - ɾ - iu	Hartman2003
84	Spanish	stan1288	41	altariu-otero	otero	o t e ɾ o	o - t e - ɾ - o	Hartman2003
85	Latin	lati1261	42	alteru-otro	alteru	ɑ l t e ɾ u	ɑ l t e ɾ u	Hartman2003
86	Spanish	stan1288	42	alteru-otro	otro	o t ɾ o	o - t - ɾ o	Hartman2003
87	Latin	lati1261	43	amāre-amar	amāre	ɑ m ɑː ɾ e	ɑ m ɑː ɾ e	Hartman2003
88	Spanish	stan1288	43	amāre-amar	amar	ɑ m ɑ ɾ	ɑ m ɑ ɾ -	Hartman2003
89	Latin	lati1261	44	amāstī-amaste	amāstī	ɑ m ɑː ʂ t iː	ɑ m ɑː ʂ t iː	Hartman2003
90	Spanish	stan1288	44	amāstī-amaste	amaste	ɑ m ɑ s t e	ɑ m ɑ s t e	Hartman2003
91	Latin	lati1261	45	amātu-amado	amātu	ɑ m ɑː t u	ɑ m ɑː t u	Hartman2003
92	Spanish	stan1288	45	amātu-amado	amado	ɑ m ɑ ð o	ɑ m ɑ ð o	Hartman2003
93	Latin	lati1261	46	amarellu-amarillo	amarellu	ɑ m ɑ ɾ e lː u	ɑ m ɑ ɾ - e lː u	Hartman2003
94	Spanish	stan1288	46	amarellu-amarillo	amarillo	ɑ m ɑ ɾ i ʎ o	ɑ m ɑ ɾ - i ʎ o	Hartman2003
95	Latin	lati1261	47	amaricāre-amargar	amaricāre	ɑ m ɑ ɾ i k ɑː ɾ e	ɑ m ɑ ɾ i k ɑː ɾ e	Hartman2003
96	Spanish	stan1288	47	amaricāre-amargar	amargar	ɑ m ɑ ɾ ɣ ɑ ɾ	ɑ m ɑ ɾ - ɣ ɑ ɾ -	Hartman2003
97	Latin	lati1261	48	amaricacea-amargaza	amaricacea	ɑ m ɑ ɾ i k ɑ k eɑ	ɑ m ɑ ɾ i k ɑ k - eɑ	Hartman2003
98	Spanish	stan1288	48	amaricacea-amargaza	amargaza	ɑ m ɑ ɾ ɣ ɑ θ ɑ	ɑ m ɑ ɾ - ɣ ɑ θ - ɑ	Hartman2003
99	Latin	lati1261	49	amaricōsu-amargoso	amaricōsu	ɑ m ɑ ɾ i k oː ʂ u	ɑ m ɑ ɾ i k oː ʂ u	Hartman2003
100	Spanish	stan1288	49	amaricōsu-amargoso	amargoso	ɑ m ɑ ɾ ɣ o ʂ o	ɑ m ɑ ɾ - ɣ o ʂ o	Hartman2003
101	Latin	lati1261	50	amaricu-amargo	amaricu	ɑ m ɑ ɾ i k u	ɑ m ɑ ɾ i k u	Hartman2003
102	Spanish	stan1288	50	amaricu-amargo	amargo	ɑ m ɑ ɾ ɣ o	ɑ m ɑ ɾ - ɣ o	Hartman2003
103	Latin	lati1261	51	amatōre-amador	amatōre	ɑ m ɑ t oː ɾ e	ɑ m ɑ t oː ɾ e	Hartman2003
104	Spanish	stan1288	51	amatōre-amador	amador	ɑ m ɑ ð o ɾ	ɑ m ɑ ð o ɾ -	Hartman2003
105	Latin	lati1261	52	ambitāre-andar	ambitāre	ɑ m b i t ɑː ɾ e	ɑ m b i t ɑː ɾ e	Hartman2003
106	Spanish	stan1288	52	ambitāre-andar	andar	ɑ n d ɑ ɾ	ɑ n - - d ɑ ɾ -	Hartman2003
107	Latin	lati1261	53	ambos-ambos	ambos	ɑ m b o ʂ	ɑ m b o ʂ	Hartman2003
108	Spanish	stan1288	53	ambos-ambos	ambos	ɑ m b o ʂ	ɑ m b o ʂ	Hartman2003
109	Latin	lati1261	54	amentu-amiento	amentu	ɑ m e n t u	ɑ m - e n t u	Hartman2003
110	Spanish	stan1288	54	amentu-amiento	amiento	ɑ m j e n t o	ɑ m j e n t o	Hartman2003
111	Latin	lati1261	55	amīca-amiga	amīca	ɑ m iː k ɑ	ɑ m iː k ɑ	Hartman2003
112	Spanish	stan1288	55	amīca-amiga	amiga	ɑ m i ɣ ɑ	ɑ m i ɣ ɑ	Hartman2003
113	Latin	lati1261	56	amīcu-amigo	amīcu	ɑ m iː k u	ɑ m iː k u	Hartman2003
114	Spanish	stan1288	56	amīcu-amigo	amigo	ɑ m i ɣ o	ɑ m i ɣ o	Hartman2003
115	Latin	lati1261	57	amites-andes	amites	ɑ m i t e ʂ	ɑ m i t e ʂ	Hartman2003
116	Spanish	stan1288	57	amites-andes	andes	ɑ n d e ʂ	ɑ n - d e ʂ	Hartman2003
117	Latin	lati1261	58	amma-ama	amma	ɑ mː ɑ	ɑ mː ɑ	Hartman2003
118	Spanish	stan1288	58	amma-ama	ama	ɑ m ɑ	ɑ m ɑ	Hartman2003
119	Latin	lati1261	59	amōre-amor	amōre	ɑ m oː ɾ e	ɑ m oː ɾ e	Hartman2003
120	Spanish	stan1288	59	amōre-amor	amor	ɑ m o ɾ	ɑ m o ɾ -	Hartman2003
121	Latin	lati1261	60	amplu-ancho	amplu	ɑ m p l u	ɑ m p l u	Hartman2003
122	Spanish	stan1288	60	amplu-ancho	ancho	ɑ ɲ tʃ o	ɑ ɲ tʃ - o	Hartman2003
123	Latin	lati1261	61	ampulla-ampolla	ampulla	ɑ m p u lː ɑ	ɑ m p u lː ɑ	Hartman2003
124	Spanish	stan1288	61	ampulla-ampolla	ampolla	ɑ m p o ʎ ɑ	ɑ m p o ʎ ɑ	Hartman2003
125	Latin	lati1261	62	anaticula-anadeja	anaticula	ɑ n ɑ t i k u l ɑ	ɑ n ɑ t i k u l ɑ	Hartman2003
126	Spanish	stan1288	62	anaticula-anadeja	anadeja	ɑ n ɑ ð e x ɑ	ɑ n ɑ ð e - - x ɑ	Hartman2003
127	Latin	lati1261	63	anellu-anillo	anellu	ɑ n e lː u	ɑ n - e lː u	Hartman2003
128	Spanish	stan1288	63	anellu-anillo	anillo	ɑ n i ʎ o	ɑ n - i ʎ o	Hartman2003
129	Latin	lati1261	64	angustu-angosto	angustu	ɑ n g u ʂ t u	ɑ n g u ʂ t u	Hartman2003
130	Spanish	stan1288	64	angustu-angosto	angosto	ɑ ŋ g o s t o	ɑ ŋ g o s t o	Hartman2003
131	Latin	lati1261	65	anniculu-añejo	anniculu	ɑ nː i k u l u	ɑ nː i k u l u	Hartman2003
132	Spanish	stan1288	65	anniculu-añejo	añejo	ɑ ɲ e x o	ɑ ɲ e - - x o	Hartman2003
133	Latin	lati1261	66	annu-año	annu	ɑ nː u	ɑ nː u	Hartman2003
134	Spanish	stan1288	66	annu-año	año	ɑ ɲ o	ɑ ɲ o	Hartman2003
135	Latin	lati1261	67	ansa-asa	ansa	ɑ n ʂ ɑ	ɑ n ʂ ɑ	Hartman2003
136	Spanish	stan1288	67	ansa-asa	asa	ɑ ʂ ɑ	ɑ - ʂ ɑ	Hartman2003
137	Latin	lati1261	68	ante-ante	ante	ɑ n t e	ɑ n t e	Hartman2003
138	Spanish	stan1288	68	ante-ante	ante	ɑ n t e	ɑ n t e	Hartman2003
139	Latin	lati1261	69	antīqua-antigua	antīqua	ɑ n t iː kʷ ɑ	ɑ n t iː kʷ ɑ	Hartman2003
140	Spanish	stan1288	69	antīqua-antigua	antigua	ɑ n t i ɣʷ ɑ	ɑ n t i ɣʷ ɑ	Hartman2003
141	Latin	lati1261	70	anxia-ansia	anxia	ɑ n k ʂ iɑ	ɑ n k ʂ - iɑ	Hartman2003
142	Spanish	stan1288	70	anxia-ansia	ansia	ɑ n ʂ j ɑ	ɑ n - ʂ j ɑ	Hartman2003
143	Latin	lati1261	71	anxiāre-ansiar	anxiāre	ɑ n k ʂ i ɑː ɾ e	ɑ n k ʂ i - ɑː ɾ e	Hartman2003
144	Spanish	stan1288	71	anxiāre-ansiar	ansiar	ɑ n ʂ j ɑ ɾ	ɑ n - ʂ - j ɑ ɾ -	Hartman2003
145	Latin	lati1261	72	aperīre-abrir	aperīre	ɑ p e ɾ iː ɾ e	ɑ p e ɾ iː ɾ e	Hartman2003
