ID	DOCULECT	GLOTTOCODE	COGID	PARAMETER	VALUE	SEGMENTS	ALIGNMENT	SOURCE
1700	Spanish	stan1288	849	marītu-marido	marido	m ɑ ɾ i ð o	m ɑ ɾ i ð o	Hartman2003
1701	Latin	lati1261	850	marra-marra	marra	m ɑ r ɑ	m ɑ r ɑ	Hartman2003
1702	Spanish	stan1288	850	marra-marra	marra	m ɑ r ɑ	m ɑ r ɑ	Hartman2003
1703	Latin	lati1261	851	marrubiu-marrubio	marrubiu	m ɑ r u b iu	m ɑ r u b - iu	Hartman2003
1704	Spanish	stan1288	851	marrubiu-marrubio	marrubio	m ɑ r u β j o	m ɑ r u β j o	Hartman2003
1705	Latin	lati1261	852	martellu-martillo	martellu	m ɑ ɾ t e lː u	m ɑ ɾ t - e lː u	Hartman2003
1706	Spanish	stan1288	852	martellu-martillo	martillo	m ɑ ɾ t i ʎ o	m ɑ ɾ t - i ʎ o	Hartman2003
1707	Latin	lati1261	853	martis-martes	martis	m ɑ ɾ t i ʂ	m ɑ ɾ t i ʂ	Hartman2003
1708	Spanish	stan1288	853	martis-martes	martes	m ɑ ɾ t e ʂ	m ɑ ɾ t e ʂ	Hartman2003
1709	Latin	lati1261	854	martiu-marzo	martiu	m ɑ ɾ t iu	m ɑ ɾ t - iu	Hartman2003
1710	Spanish	stan1288	854	martiu-marzo	marzo	m ɑ ɾ θ o	m ɑ ɾ θ - o	Hartman2003
1711	Latin	lati1261	855	maru-maro	maru	m ɑ ɾ u	m ɑ ɾ u	Hartman2003
1712	Spanish	stan1288	855	maru-maro	maro	m ɑ ɾ o	m ɑ ɾ o	Hartman2003
1713	Latin	lati1261	856	masculu-macho	masculu	m ɑ ʂ k u l u	m ɑ ʂ k u l u	Hartman2003
1714	Spanish	stan1288	856	masculu-macho	macho	m ɑ tʃ o	m ɑ - tʃ - - o	Hartman2003
1715	Latin	lati1261	857	massa-masa	massa	m ɑ ʂː ɑ	m ɑ ʂː ɑ	Hartman2003
1716	Spanish	stan1288	857	massa-masa	masa	m ɑ ʂ ɑ	m ɑ ʂ ɑ	Hartman2003
1717	Latin	lati1261	858	massāre-masar	massāre	m ɑ ʂː ɑː ɾ e	m ɑ ʂː ɑː ɾ e	Hartman2003
1718	Spanish	stan1288	858	massāre-masar	masar	m ɑ ʂ ɑ ɾ	m ɑ ʂ ɑ ɾ -	Hartman2003
1719	Latin	lati1261	859	masticāre-mascar	masticāre	m ɑ ʂ t i k ɑː ɾ e	m ɑ ʂ t i k ɑː ɾ e	Hartman2003
1720	Spanish	stan1288	859	masticāre-mascar	mascar	m ɑ s k ɑ ɾ	m ɑ s - - k ɑ ɾ -	Hartman2003
1721	Latin	lati1261	860	mataxa-madeja	mataxa	m ɑ t ɑ k ʂ ɑ	m ɑ t ɑ k ʂ ɑ	Hartman2003
1722	Spanish	stan1288	860	mataxa-madeja	madeja	m ɑ ð e x ɑ	m ɑ ð e - x ɑ	Hartman2003
1723	Latin	lati1261	861	mateola-mazuela	mateola	m ɑ t eo l ɑ	m ɑ t - eo - l ɑ	Hartman2003
1724	Spanish	stan1288	861	mateola-mazuela	mazuela	m ɑ θ w e l ɑ	m ɑ θ w e - l ɑ	Hartman2003
1725	Latin	lati1261	862	materia-madera	materia	m ɑ t e ɾ iɑ	m ɑ t e - ɾ - iɑ	Hartman2003
1726	Spanish	stan1288	862	materia-madera	madera	m ɑ ð e ɾ ɑ	m ɑ ð e - ɾ - ɑ	Hartman2003
1727	Latin	lati1261	863	materinea-madreña	materinea	m ɑ t e ɾ i n eɑ	m ɑ t e ɾ i n - eɑ	Hartman2003
1728	Spanish	stan1288	863	materinea-madreña	madreña	m ɑ ð ɾ e ɲ ɑ	m ɑ ð - ɾ e ɲ - ɑ	Hartman2003
1729	Latin	lati1261	864	matrastra-madrastra	matrastra	m ɑ t ɾ ɑ ʂ t ɾ ɑ	m ɑ t ɾ ɑ ʂ t ɾ ɑ	Hartman2003
1730	Spanish	stan1288	864	matrastra-madrastra	madrastra	m ɑ ð ɾ ɑ s t ɾ ɑ	m ɑ ð ɾ ɑ s t ɾ ɑ	Hartman2003
1731	Latin	lati1261	865	matrīce-madriz	matrīce	m ɑ t ɾ iː k e	m ɑ t ɾ iː k - e	Hartman2003
1732	Spanish	stan1288	865	matrīce-madriz	madriz	m ɑ ð ɾ i θ	m ɑ ð ɾ i θ - -	Hartman2003
1733	Latin	lati1261	866	matrīna-madrina	matrīna	m ɑ t ɾ iː n ɑ	m ɑ t ɾ iː n ɑ	Hartman2003
1734	Spanish	stan1288	866	matrīna-madrina	madrina	m ɑ ð ɾ i n ɑ	m ɑ ð ɾ i n ɑ	Hartman2003
1735	Latin	lati1261	867	matta-mata	matta	m ɑ tː ɑ	m ɑ tː ɑ	Hartman2003
1736	Spanish	stan1288	867	matta-mata	mata	m ɑ t ɑ	m ɑ t ɑ	Hartman2003
1737	Latin	lati1261	868	mattea-maza	mattea	m ɑ tː eɑ	m ɑ tː - - eɑ	Hartman2003
1738	Spanish	stan1288	868	mattea-maza	maza	m ɑ θ ɑ	m ɑ θ - - ɑ	Hartman2003
1739	Latin	lati1261	869	mauru-moro	mauru	m ɑ w ɾ u	m ɑ w ɾ u	Hartman2003
1740	Spanish	stan1288	869	mauru-moro	moro	m o ɾ o	m o - ɾ o	Hartman2003
1741	Latin	lati1261	870	mēta-meda	mēta	m eː t ɑ	m eː t ɑ	Hartman2003
1742	Spanish	stan1288	870	mēta-meda	meda	m e ð ɑ	m e ð ɑ	Hartman2003
1743	Latin	lati1261	871	mētīri-medir	mētīri	m eː t iː ɾ i	m eː t iː ɾ i	Hartman2003
1744	Spanish	stan1288	871	mētīri-medir	medir	m e ð i ɾ	m e ð i ɾ -	Hartman2003
1745	Latin	lati1261	872	mediālia-meaja	mediālia	m e d i ɑː l iɑ	m e d i ɑː l - iɑ	Hartman2003
1746	Spanish	stan1288	872	mediālia-meaja	meaja	m j ɑ x ɑ	m - - j ɑ x - ɑ	Hartman2003
1747	Latin	lati1261	873	meiāre-mear	meiāre	m ei ɑː ɾ e	m ei - ɑː ɾ e	Hartman2003
1748	Spanish	stan1288	873	meiāre-mear	mear	m j ɑ ɾ	m - j ɑ ɾ -	Hartman2003
1749	Latin	lati1261	874	mele-miel	mele	m e l e	m - e l e	Hartman2003
1750	Spanish	stan1288	874	mele-miel	miel	m j e l	m j e l -	Hartman2003
1751	Latin	lati1261	875	meliōre-mejor	meliōre	m e l i oː ɾ e	m e l - i oː ɾ e	Hartman2003
1752	Spanish	stan1288	875	meliōre-mejor	mejor	m e x o ɾ	m e x - - o ɾ -	Hartman2003
1753	Latin	lati1261	876	melōne-melón	melōne	m e l oː n e	m e l oː n e	Hartman2003
1754	Spanish	stan1288	876	melōne-melón	melón	m e l o n	m e l o n -	Hartman2003
1755	Latin	lati1261	877	membru-miembro	membru	m e m b ɾ u	m - e m b ɾ u	Hartman2003
1756	Spanish	stan1288	877	membru-miembro	miembro	m j e m b ɾ o	m j e m b ɾ o	Hartman2003
1757	Latin	lati1261	878	memorāre-membrar	memorāre	m e m o ɾ ɑː ɾ e	m e m - o ɾ ɑː ɾ e	Hartman2003
1758	Spanish	stan1288	878	memorāre-membrar	membrar	m e m b ɾ ɑ ɾ	m e m b - ɾ ɑ ɾ -	Hartman2003
1759	Latin	lati1261	879	mendīku-mendigo	mendīku	m e n d iː k u	m e n d iː k u	Hartman2003
1760	Spanish	stan1288	879	mendīku-mendigo	mendigo	m e n d i ɣ o	m e n d i ɣ o	Hartman2003
1761	Latin	lati1261	880	mensa-mesa	mensa	m e n ʂ ɑ	m e n ʂ ɑ	Hartman2003
1762	Spanish	stan1288	880	mensa-mesa	mesa	m e ʂ ɑ	m e - ʂ ɑ	Hartman2003
1763	Latin	lati1261	881	mense-més	mense	m e n ʂ e	m e n ʂ e	Hartman2003
1764	Spanish	stan1288	881	mense-més	més	m e ʂ	m e - ʂ -	Hartman2003
1765	Latin	lati1261	882	mensūra-mesura	mensūra	m e n ʂ uː ɾ ɑ	m e n ʂ uː ɾ ɑ	Hartman2003
1766	Spanish	stan1288	882	mensūra-mesura	mesura	m e ʂ u ɾ ɑ	m e - ʂ u ɾ ɑ	Hartman2003
1767	Latin	lati1261	883	mentāre-mentar	mentāre	m e n t ɑː ɾ e	m e n t ɑː ɾ e	Hartman2003
1768	Spanish	stan1288	883	mentāre-mentar	mentar	m e n t ɑ ɾ	m e n t ɑ ɾ -	Hartman2003
1769	Latin	lati1261	884	mentastru-mentastro	mentastru	m e n t ɑ ʂ t ɾ u	m e n t ɑ ʂ t ɾ u	Hartman2003
1770	Spanish	stan1288	884	mentastru-mentastro	mentastro	m e n t ɑ s t ɾ o	m e n t ɑ s t ɾ o	Hartman2003
1771	Latin	lati1261	885	mente-miente	mente	m e n t e	m - e n t e	Hartman2003
1772	Spanish	stan1288	885	mente-miente	miente	m j e n t e	m j e n t e	Hartman2003
1773	Latin	lati1261	886	mentīre-mentir	mentīre	m e n t iː ɾ e	m e n t iː ɾ e	Hartman2003
1774	Spanish	stan1288	886	mentīre-mentir	mentir	m e n t i ɾ	m e n t i ɾ -	Hartman2003
1775	Latin	lati1261	887	mercāre-mercar	mercāre	m e ɾ k ɑː ɾ e	m e ɾ k ɑː ɾ e	Hartman2003
1776	Spanish	stan1288	887	mercāre-mercar	mercar	m e ɾ k ɑ ɾ	m e ɾ k ɑ ɾ -	Hartman2003
1777	Latin	lati1261	888	mercātu-mercado	mercātu	m e ɾ k ɑː t u	m e ɾ k ɑː t u	Hartman2003
1778	Spanish	stan1288	888	mercātu-mercado	mercado	m e ɾ k ɑ ð o	m e ɾ k ɑ ð o	Hartman2003
1779	Latin	lati1261	889	mercante-mercante	mercante	m e ɾ k ɑ n t e	m e ɾ k ɑ n t e	Hartman2003
1780	Spanish	stan1288	889	mercante-mercante	mercante	m e ɾ k ɑ n t e	m e ɾ k ɑ n t e	Hartman2003
1781	Latin	lati1261	890	merda-mierda	merda	m e ɾ d ɑ	m - e ɾ d ɑ	Hartman2003
1782	Spanish	stan1288	890	merda-mierda	mierda	m j e ɾ ð ɑ	m j e ɾ ð ɑ	Hartman2003
1783	Latin	lati1261	891	merga-mierga	merga	m e ɾ g ɑ	m - e ɾ g ɑ	Hartman2003
1784	Spanish	stan1288	891	merga-mierga	mierga	m j e ɾ ɣ ɑ	m j e ɾ ɣ ɑ	Hartman2003
1785	Latin	lati1261	892	merula-mierla	merula	m e ɾ u l ɑ	m - e ɾ u l ɑ	Hartman2003
1786	Spanish	stan1288	892	merula-mierla	mierla	m j e ɾ l ɑ	m j e ɾ - l ɑ	Hartman2003
1787	Latin	lati1261	893	messāre-mesar	messāre	m e ʂː ɑː ɾ e	m e ʂː ɑː ɾ e	Hartman2003
1788	Spanish	stan1288	893	messāre-mesar	mesar	m e ʂ ɑ ɾ	m e ʂ ɑ ɾ -	Hartman2003
1789	Latin	lati1261	894	messe-miés	messe	m e ʂː e	m - e ʂː e	Hartman2003
1790	Spanish	stan1288	894	messe-miés	miés	m j e ʂ	m j e ʂ -	Hartman2003
1791	Latin	lati1261	895	metōrōsu-medroso	metōrōsu	m e t oː ɾ oː ʂ u	m e t oː ɾ oː ʂ u	Hartman2003
1792	Spanish	stan1288	895	metōrōsu-medroso	medroso	m e ð ɾ o ʂ o	m e ð - ɾ o ʂ o	Hartman2003
1793	Latin	lati1261	896	metu-miedo	metu	m e t u	m - e t u	Hartman2003
1794	Spanish	stan1288	896	metu-miedo	miedo	m j e ð o	m j e ð o	Hartman2003
1795	Latin	lati1261	897	mīca-miga	mīca	m iː k ɑ	m iː k ɑ	Hartman2003
1796	Spanish	stan1288	897	mīca-miga	miga	m i ɣ ɑ	m i ɣ ɑ	Hartman2003
1797	Latin	lati1261	898	mīcācula-migaja	mīcācula	m iː k ɑː k u l ɑ	m iː k ɑː k u l ɑ	Hartman2003
1798	Spanish	stan1288	898	mīcācula-migaja	migaja	m i ɣ ɑ x ɑ	m i ɣ ɑ x - - ɑ	Hartman2003
1799	Latin	lati1261	899	mīliariu-mijero	mīliariu	m iː l i ɑ ɾ iu	m iː l i ɑ - ɾ - iu	Hartman2003
1800	Spanish	stan1288	899	mīliariu-mijero	mijero	m i x e ɾ o	m i x - e - ɾ - o	Hartman2003
1801	Latin	lati1261	900	mīmu-mimo	mīmu	m iː m u	m iː m u	Hartman2003
1802	Spanish	stan1288	900	mīmu-mimo	mimo	m i m o	m i m o	Hartman2003
1803	Latin	lati1261	901	mīrāre-mirar	mīrāre	m iː ɾ ɑː ɾ e	m iː ɾ ɑː ɾ e	Hartman2003
1804	Spanish	stan1288	901	mīrāre-mirar	mirar	m i ɾ ɑ ɾ	m i ɾ ɑ ɾ -	Hartman2003
1805	Latin	lati1261	902	mīrant-miran	mīrant	m iː ɾ ɑ n t	m iː ɾ ɑ n t	Hartman2003
1806	Spanish	stan1288	902	mīrant-miran	miran	m i ɾ ɑ n	m i ɾ ɑ n -	Hartman2003
1807	Latin	lati1261	903	mīrat-mira	mīrat	m iː ɾ ɑ t	m iː ɾ ɑ t	Hartman2003
1808	Spanish	stan1288	903	mīrat-mira	mira	m i ɾ ɑ	m i ɾ ɑ -	Hartman2003
1809	Latin	lati1261	904	mihi-mí	mihi	m iː	m - iː -	Hartman2003
1810	Spanish	stan1288	904	mihi-mí	mí	m i	m - i -	Hartman2003
1811	Latin	lati1261	905	minācia-menaza	minācia	m i n ɑː k iɑ	m i n ɑː k - iɑ	Hartman2003
1812	Spanish	stan1288	905	minācia-menaza	menaza	m e n ɑ θ ɑ	m e n ɑ θ - ɑ	Hartman2003
1813	Latin	lati1261	906	minōre-menor	minōre	m i n oː ɾ e	m i n oː ɾ e	Hartman2003
1814	Spanish	stan1288	906	minōre-menor	menor	m e n o ɾ	m e n o ɾ -	Hartman2003
1815	Latin	lati1261	907	minūta-menuda	minūta	m i n uː t ɑ	m i n uː t ɑ	Hartman2003
1816	Spanish	stan1288	907	minūta-menuda	menuda	m e n u ð ɑ	m e n u ð ɑ	Hartman2003
1817	Latin	lati1261	908	minūtu-menudo	minūtu	m i n uː t u	m i n uː t u	Hartman2003
1818	Spanish	stan1288	908	minūtu-menudo	menudo	m e n u ð o	m e n u ð o	Hartman2003
1819	Latin	lati1261	909	minus-menos	minus	m i n u ʂ	m i n u ʂ	Hartman2003
1820	Spanish	stan1288	909	minus-menos	menos	m e n o ʂ	m e n o ʂ	Hartman2003
1821	Latin	lati1261	910	miscēre-mecer	miscēre	m i ʂ k eː ɾ e	m i ʂ k - eː ɾ e	Hartman2003
1822	Spanish	stan1288	910	miscēre-mecer	mecer	m e θ e ɾ	m e - θ - e ɾ -	Hartman2003
1823	Latin	lati1261	911	mittēre-meter	mittēre	m i tː eː ɾ e	m i tː eː ɾ e	Hartman2003
1824	Spanish	stan1288	911	mittēre-meter	meter	m e t e ɾ	m e t e ɾ -	Hartman2003
1825	Latin	lati1261	912	mixtīciu-mestizo	mixtīciu	m i k ʂ t iː k iu	m i k ʂ t iː k - iu	Hartman2003
1826	Spanish	stan1288	912	mixtīciu-mestizo	mestizo	m e s t i θ o	m e - s t i θ - o	Hartman2003
1827	Latin	lati1261	913	mixtu-mesto	mixtu	m i k ʂ t u	m i k ʂ t u	Hartman2003
1828	Spanish	stan1288	913	mixtu-mesto	mesto	m e s t o	m e - s t o	Hartman2003
1829	Latin	lati1261	914	mixtūra-mestura	mixtūra	m i k ʂ t uː ɾ ɑ	m i k ʂ t uː ɾ ɑ	Hartman2003
1830	Spanish	stan1288	914	mixtūra-mestura	mestura	m e s t u ɾ ɑ	m e - s t u ɾ ɑ	Hartman2003
1831	Latin	lati1261	915	mōbile-moble	mōbile	m oː b i l e	m oː b i l e	Hartman2003
1832	Spanish	stan1288	915	mōbile-moble	moble	m o β l e	m o β - l e	Hartman2003
1833	Latin	lati1261	916	mōla-mola	mōla	m oː l ɑ	m oː l ɑ	Hartman2003
1834	Spanish	stan1288	916	mōla-mola	mola	m o l ɑ	m o l ɑ	Hartman2003
1835	Latin	lati1261	917	mōra-mora	mōra	m oː ɾ ɑ	m oː ɾ ɑ	Hartman2003
1836	Spanish	stan1288	917	mōra-mora	mora	m o ɾ ɑ	m o ɾ ɑ	Hartman2003
1837	Latin	lati1261	918	mola-muela	mola	m o l ɑ	m - o l ɑ	Hartman2003
1838	Spanish	stan1288	918	mola-muela	muela	m w e l ɑ	m w e l ɑ	Hartman2003
1839	Latin	lati1261	919	molēre-moler	molēre	m o l eː ɾ e	m o l eː ɾ e	Hartman2003
1840	Spanish	stan1288	919	molēre-moler	moler	m o l e ɾ	m o l e ɾ -	Hartman2003
1841	Latin	lati1261	920	molīnu-molino	molīnu	m o l iː n u	m o l iː n u	Hartman2003
1842	Spanish	stan1288	920	molīnu-molino	molino	m o l i n o	m o l i n o	Hartman2003
1843	Latin	lati1261	921	molle-muelle	molle	m o lː e	m - o lː e	Hartman2003
1844	Spanish	stan1288	921	molle-muelle	muelle	m w e ʎ e	m w e ʎ e	Hartman2003
1845	Latin	lati1261	922	mollitia-molleza	mollitia	m o lː i t iɑ	m o lː i t - iɑ	Hartman2003
1846	Spanish	stan1288	922	mollitia-molleza	molleza	m o ʎ e θ ɑ	m o ʎ e θ - ɑ	Hartman2003
1847	Latin	lati1261	923	monachellu-monacillo	monachellu	m o n ɑ k e lː u	m o n ɑ k - e lː u	Hartman2003
1848	Spanish	stan1288	923	monachellu-monacillo	monacillo	m o n ɑ θ i ʎ o	m o n ɑ θ - i ʎ o	Hartman2003
1849	Latin	lati1261	924	monēta-moneda	monēta	m o n eː t ɑ	m o n eː t ɑ	Hartman2003
1850	Spanish	stan1288	924	monēta-moneda	moneda	m o n e ð ɑ	m o n e ð ɑ	Hartman2003
1851	Latin	lati1261	925	monstrāre-mostrar	monstrāre	m o n ʂ t ɾ ɑː ɾ e	m o n ʂ t ɾ ɑː ɾ e	Hartman2003
1852	Spanish	stan1288	925	monstrāre-mostrar	mostrar	m o s t ɾ ɑ ɾ	m o - s t ɾ ɑ ɾ -	Hartman2003
1853	Latin	lati1261	926	monstru-mostro	monstru	m o n ʂ t ɾ u	m o n ʂ t ɾ u	Hartman2003
1854	Spanish	stan1288	926	monstru-mostro	mostro	m o s t ɾ o	m o - s t ɾ o	Hartman2003
1855	Latin	lati1261	927	montānea-montaña	montānea	m o n t ɑː n eɑ	m o n t ɑː n - eɑ	Hartman2003
1856	Spanish	stan1288	927	montānea-montaña	montaña	m o n t ɑ ɲ ɑ	m o n t ɑ ɲ - ɑ	Hartman2003
1857	Latin	lati1261	928	montānu-montano	montānu	m o n t ɑː n u	m o n t ɑː n u	Hartman2003
1858	Spanish	stan1288	928	montānu-montano	montano	m o n t ɑ n o	m o n t ɑ n o	Hartman2003
1859	Latin	lati1261	929	montāre-montar	montāre	m o n t ɑː ɾ e	m o n t ɑː ɾ e	Hartman2003
1860	Spanish	stan1288	929	montāre-montar	montar	m o n t ɑ ɾ	m o n t ɑ ɾ -	Hartman2003
1861	Latin	lati1261	930	montēnse-montés	montēnse	m o n t eː n ʂ e	m o n t eː n ʂ e	Hartman2003
1862	Spanish	stan1288	930	montēnse-montés	montés	m o n t e ʂ	m o n t e - ʂ -	Hartman2003
1863	Latin	lati1261	931	monticulu-montejo	monticulu	m o n t i k u l u	m o n t i k u l u	Hartman2003
1864	Spanish	stan1288	931	monticulu-montejo	montejo	m o n t e x o	m o n t e x - - o	Hartman2003
1865	Latin	lati1261	932	montōsu-montoso	montōsu	m o n t oː ʂ u	m o n t oː ʂ u	Hartman2003
1866	Spanish	stan1288	932	montōsu-montoso	montoso	m o n t o ʂ o	m o n t o ʂ o	Hartman2003
1867	Latin	lati1261	933	morāri-morar	morāri	m o ɾ ɑː ɾ i	m o ɾ ɑː ɾ i	Hartman2003
1868	Spanish	stan1288	933	morāri-morar	morar	m o ɾ ɑ ɾ	m o ɾ ɑ ɾ -	Hartman2003
1869	Latin	lati1261	934	mordēre-morder	mordēre	m o ɾ d eː ɾ e	m o ɾ d eː ɾ e	Hartman2003
1870	Spanish	stan1288	934	mordēre-morder	morder	m o ɾ ð e ɾ	m o ɾ ð e ɾ -	Hartman2003
1871	Latin	lati1261	935	morīre-morir	morīre	m o ɾ iː ɾ e	m o ɾ iː ɾ e	Hartman2003
1872	Spanish	stan1288	935	morīre-morir	morir	m o ɾ i ɾ	m o ɾ i ɾ -	Hartman2003
1873	Latin	lati1261	936	morsicāre-moscar	morsicāre	m o ɾ ʂ i k ɑː ɾ e	m o ɾ ʂ i k ɑː ɾ e	Hartman2003
1874	Spanish	stan1288	936	morsicāre-moscar	moscar	m o ʂ k ɑ ɾ	m o - ʂ - k ɑ ɾ -	Hartman2003
1875	Latin	lati1261	937	morsu-mueso	morsu	m o ɾ ʂ u	m - o ɾ ʂ u	Hartman2003
1876	Spanish	stan1288	937	morsu-mueso	mueso	m w e ʂ o	m w e - ʂ o	Hartman2003
1877	Latin	lati1261	938	morta-muerta	morta	m o ɾ t ɑ	m - o ɾ t ɑ	Hartman2003
1878	Spanish	stan1288	938	morta-muerta	muerta	m w e ɾ t ɑ	m w e ɾ t ɑ	Hartman2003
1879	Latin	lati1261	939	mortāle-mortal	mortāle	m o ɾ t ɑː l e	m o ɾ t ɑː l e	Hartman2003
1880	Spanish	stan1288	939	mortāle-mortal	mortal	m o ɾ t ɑ l	m o ɾ t ɑ l -	Hartman2003
1881	Latin	lati1261	940	mortāriu-mortero	mortāriu	m o ɾ t ɑː ɾ iu	m o ɾ t ɑː - ɾ - iu	Hartman2003
1882	Spanish	stan1288	940	mortāriu-mortero	mortero	m o ɾ t e ɾ o	m o ɾ t e - ɾ - o	Hartman2003
1883	Latin	lati1261	941	morte-muerte	morte	m u e ɾ t e	m - u e ɾ t e	Hartman2003
1884	Spanish	stan1288	941	morte-muerte	muerte	m w e ɾ t e	m w e - ɾ t e	Hartman2003
1885	Latin	lati1261	942	mortuu-muerto	mortuu	m o ɾ t uː	m - o ɾ t - uː	Hartman2003
1886	Spanish	stan1288	942	mortuu-muerto	muerto	m w e ɾ t o	m w e ɾ t - o	Hartman2003
1887	Latin	lati1261	943	movēbile-mueble	movēbile	m o w eː b i l e	m o w eː b i l e	Hartman2003
1888	Spanish	stan1288	943	movēbile-mueble	mueble	m w e β l e	m - w e β - l e	Hartman2003
1889	Latin	lati1261	944	mūcāre-mugar	mūcāre	m uː k ɑː ɾ e	m uː k ɑː ɾ e	Hartman2003
1890	Spanish	stan1288	944	mūcāre-mugar	mugar	m u ɣ ɑ ɾ	m u ɣ ɑ ɾ -	Hartman2003
1891	Latin	lati1261	945	mūlōs-mulos	mūlōs	m uː l oː ʂ	m uː l oː ʂ	Hartman2003
1892	Spanish	stan1288	945	mūlōs-mulos	mulos	m u l o ʂ	m u l o ʂ	Hartman2003
1893	Latin	lati1261	946	mūlu-mulo	mūlu	m uː l u	m uː l u	Hartman2003
1894	Spanish	stan1288	946	mūlu-mulo	mulo	m u l o	m u l o	Hartman2003
1895	Latin	lati1261	947	mūru-muro	mūru	m uː ɾ u	m uː ɾ u	Hartman2003
1896	Spanish	stan1288	947	mūru-muro	muro	m u ɾ o	m u ɾ o	Hartman2003
1897	Latin	lati1261	948	mūscu-musco	mūscu	m uː ʂ k u	m uː ʂ k u	Hartman2003
1898	Spanish	stan1288	948	mūscu-musco	musco	m u ʂ k o	m u ʂ k o	Hartman2003
1899	Latin	lati1261	949	mūsculu-muslo	mūsculu	m uː ʂ k u l u	m uː ʂ k u l u	Hartman2003
1900	Spanish	stan1288	949	mūsculu-muslo	muslo	m u tʃ o	m u - tʃ - - o	Hartman2003
1901	Latin	lati1261	950	mūta-muda	mūta	m uː t ɑ	m uː t ɑ	Hartman2003
1902	Spanish	stan1288	950	mūta-muda	muda	m u ð ɑ	m u ð ɑ	Hartman2003
1903	Latin	lati1261	951	mūtāre-mudar	mūtāre	m uː t ɑː ɾ e	m uː t ɑː ɾ e	Hartman2003
1904	Spanish	stan1288	951	mūtāre-mudar	mudar	m u ð ɑ ɾ	m u ð ɑ ɾ -	Hartman2003
1905	Latin	lati1261	952	mūtu-mudo	mūtu	m uː t u	m uː t u	Hartman2003
1906	Spanish	stan1288	952	mūtu-mudo	mudo	m u ð o	m u ð o	Hartman2003
1907	Latin	lati1261	953	muccāre-mocar	muccāre	m u kː ɑː ɾ e	m u kː ɑː ɾ e	Hartman2003
1908	Spanish	stan1288	953	muccāre-mocar	mocar	m o k ɑ ɾ	m o k ɑ ɾ -	Hartman2003
1909	Latin	lati1261	954	muccōsa-mocosa	muccōsa	m u kː oː ʂ ɑ	m u kː oː ʂ ɑ	Hartman2003
1910	Spanish	stan1288	954	muccōsa-mocosa	mocosa	m o k o ʂ ɑ	m o k o ʂ ɑ	Hartman2003
1911	Latin	lati1261	955	muccu-moco	muccu	m u kː u	m u kː u	Hartman2003
1912	Spanish	stan1288	955	muccu-moco	moco	m o k o	m o k o	Hartman2003
1913	Latin	lati1261	956	muliere-mujer	muliere	m u l ie ɾ e	m u l - ie ɾ e	Hartman2003
1914	Spanish	stan1288	956	muliere-mujer	mujer	m u x e ɾ	m u x - e ɾ -	Hartman2003
1915	Latin	lati1261	957	multu-mucho	multu	m u l t u	m u l t u	Hartman2003
1916	Spanish	stan1288	957	multu-mucho	mucho	m u tʃ o	m u - tʃ o	Hartman2003
1917	Latin	lati1261	958	mundāre-mondar	mundāre	m u n d ɑː ɾ e	m u n d ɑː ɾ e	Hartman2003
1918	Spanish	stan1288	958	mundāre-mondar	mondar	m o n d ɑ ɾ	m o n d ɑ ɾ -	Hartman2003
1919	Latin	lati1261	959	mundu-mondo	mundu	m u n d u	m u n d u	Hartman2003
1920	Spanish	stan1288	959	mundu-mondo	mondo	m o n d o	m o n d o	Hartman2003
1921	Latin	lati1261	960	muria-muera	muria	m u ɾ iɑ	m - u - ɾ - iɑ	Hartman2003
1922	Spanish	stan1288	960	muria-muera	muera	m w e ɾ ɑ	m w e - ɾ - ɑ	Hartman2003
1923	Latin	lati1261	961	musca-mosca	musca	m u ʂ k ɑ	m u ʂ k ɑ	Hartman2003
1924	Spanish	stan1288	961	musca-mosca	mosca	m o ʂ k ɑ	m o ʂ k ɑ	Hartman2003
1925	Latin	lati1261	962	muscariu-mosquero	muscariu	m u ʂ k ɑ ɾ iu	m u ʂ k ɑ - ɾ - iu	Hartman2003
1926	Spanish	stan1288	962	muscariu-mosquero	mosquero	m o ʂ k e ɾ o	m o ʂ k e - ɾ - o	Hartman2003
1927	Latin	lati1261	963	mustidu-mustio	mustidu	m u ʂ t i d u	m u ʂ t i d u	Hartman2003
1928	Spanish	stan1288	963	mustidu-mustio	mustio	m u s t j o	m u s t - j o	Hartman2003
1929	Latin	lati1261	964	mustu-mosto	mustu	m u ʂ t u	m u ʂ t u	Hartman2003
1930	Spanish	stan1288	964	mustu-mosto	mosto	m o s t o	m o s t o	Hartman2003
1931	Latin	lati1261	965	mutiu-mozo	mutiu	m u t iu	m u t - iu	Hartman2003
1932	Spanish	stan1288	965	mutiu-mozo	mozo	m o θ o	m o θ - o	Hartman2003
1933	Latin	lati1261	966	nāve-nave	nāve	n ɑː w e	n ɑː w e	Hartman2003
1934	Spanish	stan1288	966	nāve-nave	nave	n ɑ β e	n ɑ β e	Hartman2003
1935	Latin	lati1261	967	napīna-nabina	napīna	n ɑ p iː n ɑ	n ɑ p iː n ɑ	Hartman2003
1936	Spanish	stan1288	967	napīna-nabina	nabina	n ɑ β i n ɑ	n ɑ β i n ɑ	Hartman2003
1937	Latin	lati1261	968	napu-nabo	napu	n ɑ p u	n ɑ p u	Hartman2003
1938	Spanish	stan1288	968	napu-nabo	nabo	n ɑ β o	n ɑ β o	Hartman2003
