grapheme	normalized	name	datasets	airstream	airstream2	articulation	articulation2	aspiration	aspiration2	breathiness	breathiness2	centrality	centrality2	contour	creakiness	creakiness2	duration	duration2	ejection	ejection2	end	friction	friction2	glottalization	glottalization2	height	height2	labialization	labialization2	laminality	laminality2	manner	manner2	middle	nasalization	nasalization2	palatalization	palatalization2	pharyngealization	pharyngealization2	phonation	phonation2	place	place2	preceding	preceding2	raising	raising2	relative_articulation	relative_articulation2	release	release2	rhotacization	rhotacization2	roundedness	roundedness2	rounding	rounding2	sound_type	start	stress	stress2	syllabicity	syllabicity2	tone	tone2	tongue_root	tongue_root2	velarization	velarization2	voicing	voicing2
æ̰ˠ	æ̰ˠ	velarized creaky unrounded near-open front vowel	panphon									front			creaky											near-open																													unrounded				vowel										velarized			
æ̰ˤ	æ̰ˤ	pharyngealized creaky unrounded near-open front vowel	panphon									front			creaky											near-open													pharyngealized																unrounded				vowel													
æ̰̃	æ̰̃	nasalized creaky unrounded near-open front vowel	panphon									front			creaky											near-open									nasalized																				unrounded				vowel													
æẽ̯	æẽ̯	from unrounded near-open front to non-syllabic nasalized unrounded close-mid front diphthong	phoible									front														close-mid									nasalized																				unrounded				diphthong				non-syllabic									
ç	ç	voiceless palatal sibilant fricative consonant	apics;bdproto;diachronica;eurasian;jipa;lapsyd;multimedia;nidaba;panphon;pbase;phoible;sala;segbo;wiki	sibilant																												fricative									voiceless		palatal																consonant													
çʰ	çʰ	aspirated voiceless palatal sibilant fricative consonant	eurasian;panphon;phoible	sibilant				aspirated																								fricative									voiceless		palatal																consonant													
çʰʲ	çʲʰ	palatalized aspirated voiceless palatal sibilant fricative consonant	panphon	sibilant				aspirated																								fricative					palatalized				voiceless		palatal																consonant													
çʰʷ	çʷʰ	labialized aspirated voiceless palatal sibilant fricative consonant	panphon	sibilant				aspirated																				labialized				fricative									voiceless		palatal																consonant													
çʰː	çʰː	aspirated long voiceless palatal sibilant fricative consonant	panphon	sibilant				aspirated									long															fricative									voiceless		palatal																consonant													
çʰˠ	çˠʰ	velarized aspirated voiceless palatal sibilant fricative consonant	panphon	sibilant				aspirated																								fricative									voiceless		palatal																consonant										velarized			
çʰˤ	çˤʰ	pharyngealized aspirated voiceless palatal sibilant fricative consonant	panphon	sibilant				aspirated																								fricative							pharyngealized		voiceless		palatal																consonant													
çʰᶣ	çᶣʰ	labio-palatalized aspirated voiceless palatal sibilant fricative consonant	panphon	sibilant				aspirated																								fricative					labio-palatalized				voiceless		palatal																consonant													
çʲ	çʲ	palatalized voiceless palatal sibilant fricative consonant	nidaba;panphon;phoible	sibilant																												fricative					palatalized				voiceless		palatal																consonant													
çʲʰ	çʲʰ	palatalized aspirated voiceless palatal sibilant fricative consonant	panphon	sibilant				aspirated																								fricative					palatalized				voiceless		palatal																consonant													
çʲʷ	çʲʷ	palatalized labialized voiceless palatal sibilant fricative consonant	panphon	sibilant																								labialized				fricative					palatalized				voiceless		palatal																consonant													
çʲʷʰ	çʲʷʰ	palatalized labialized aspirated voiceless palatal sibilant fricative consonant	panphon	sibilant				aspirated																				labialized				fricative					palatalized				voiceless		palatal																consonant													
çʲʼ	çʼʲ	palatalized voiceless palatal ejective sibilant fricative consonant	panphon	sibilant															ejective													fricative					palatalized				voiceless		palatal																consonant													
çʲː	çʲː	palatalized long voiceless palatal sibilant fricative consonant	nidaba;panphon	sibilant													long															fricative					palatalized				voiceless		palatal																consonant													
çʷ	çʷ	labialized voiceless palatal sibilant fricative consonant	nidaba;panphon;pbase;phoible	sibilant																								labialized				fricative									voiceless		palatal																consonant													
çʷʰ	çʷʰ	labialized aspirated voiceless palatal sibilant fricative consonant	panphon	sibilant				aspirated																				labialized				fricative									voiceless		palatal																consonant													
çʷʰː	çʷʰː	labialized aspirated long voiceless palatal sibilant fricative consonant	panphon	sibilant				aspirated									long											labialized				fricative									voiceless		palatal																consonant													
çʷʼ	çʼʷ	labialized voiceless palatal ejective sibilant fricative consonant	panphon	sibilant															ejective									labialized				fricative									voiceless		palatal																consonant													
çʷˀ	çʷˀ	labialized glottalized voiceless palatal sibilant fricative consonant	panphon	sibilant																				glottalized				labialized				fricative									voiceless		palatal																consonant													
çʷː	çʷː	labialized long voiceless palatal sibilant fricative consonant	nidaba;panphon	sibilant													long											labialized				fricative									voiceless		palatal																consonant													
çʷˠ	çʷˠ	labialized velarized voiceless palatal sibilant fricative consonant	panphon	sibilant																								labialized				fricative									voiceless		palatal																consonant										velarized			
çʷˠʰ	çʷˠʰ	labialized velarized aspirated voiceless palatal sibilant fricative consonant	panphon	sibilant				aspirated																				labialized				fricative									voiceless		palatal																consonant										velarized			
çʷˤ	çʷˤ	labialized pharyngealized voiceless palatal sibilant fricative consonant	panphon	sibilant																								labialized				fricative							pharyngealized		voiceless		palatal																consonant													
çʷˤʰ	çʷˤʰ	labialized pharyngealized aspirated voiceless palatal sibilant fricative consonant	panphon	sibilant				aspirated																				labialized				fricative							pharyngealized		voiceless		palatal																consonant													
çʷˤʼ	çʼʷˤ	labialized pharyngealized voiceless palatal ejective sibilant fricative consonant	panphon	sibilant															ejective									labialized				fricative							pharyngealized		voiceless		palatal																consonant													
çʼ	çʼ	voiceless palatal ejective sibilant fricative consonant	diachronica;panphon	sibilant															ejective													fricative									voiceless		palatal																consonant													
çʼʲ	çʼʲ	palatalized voiceless palatal ejective sibilant fricative consonant	panphon	sibilant															ejective													fricative					palatalized				voiceless		palatal																consonant													
çʼʷ	çʼʷ	labialized voiceless palatal ejective sibilant fricative consonant	panphon	sibilant															ejective									labialized				fricative									voiceless		palatal																consonant													
çʼː	çʼː	long voiceless palatal ejective sibilant fricative consonant	panphon	sibilant													long		ejective													fricative									voiceless		palatal																consonant													
çˀ	çˀ	glottalized voiceless palatal sibilant fricative consonant	bdproto;panphon	sibilant																				glottalized								fricative									voiceless		palatal																consonant													
çː	çː	long voiceless palatal sibilant fricative consonant	bdproto;eurasian;nidaba;panphon;phoible	sibilant													long															fricative									voiceless		palatal																consonant													
çːʲ	çʲː	palatalized long voiceless palatal sibilant fricative consonant	panphon	sibilant													long															fricative					palatalized				voiceless		palatal																consonant													
çːʷ	çʷː	labialized long voiceless palatal sibilant fricative consonant	panphon	sibilant													long											labialized				fricative									voiceless		palatal																consonant													
çːˠ	çˠː	velarized long voiceless palatal sibilant fricative consonant	panphon	sibilant													long															fricative									voiceless		palatal																consonant										velarized			
çːˤ	çˤː	pharyngealized long voiceless palatal sibilant fricative consonant	panphon	sibilant													long															fricative							pharyngealized		voiceless		palatal																consonant													
çˠ	çˠ	velarized voiceless palatal sibilant fricative consonant	panphon	sibilant																												fricative									voiceless		palatal																consonant										velarized			
çˤ	çˤ	pharyngealized voiceless palatal sibilant fricative consonant	panphon	sibilant																												fricative							pharyngealized		voiceless		palatal																consonant													
çˤʰ	çˤʰ	pharyngealized aspirated voiceless palatal sibilant fricative consonant	panphon	sibilant				aspirated																								fricative							pharyngealized		voiceless		palatal																consonant													
çˤʼ	çʼˤ	pharyngealized voiceless palatal ejective sibilant fricative consonant	panphon	sibilant															ejective													fricative							pharyngealized		voiceless		palatal																consonant													
çˤː	çˤː	pharyngealized long voiceless palatal sibilant fricative consonant	panphon	sibilant													long															fricative							pharyngealized		voiceless		palatal																consonant													
ç̝	ç̝	raised voiceless palatal sibilant fricative consonant	panphon	sibilant																												fricative									voiceless		palatal				raised												consonant													
ç̞	ç̞	lowered voiceless palatal sibilant fricative consonant	panphon	sibilant																												fricative									voiceless		palatal				lowered												consonant													
ç̟	ç̟	advanced voiceless palatal sibilant fricative consonant	eurasian;panphon;phoible	sibilant																												fricative									voiceless		palatal						advanced										consonant													
ç̠	ç̠	retracted voiceless palatal sibilant fricative consonant	panphon	sibilant																												fricative									voiceless		palatal						retracted										consonant													
ç̩	ç̩	syllabic voiceless palatal sibilant fricative consonant	nidaba;panphon	sibilant																												fricative									voiceless		palatal																consonant				syllabic									
ç̩ʲ	ç̩ʲ	syllabic palatalized voiceless palatal sibilant fricative consonant	nidaba	sibilant																												fricative					palatalized				voiceless		palatal																consonant				syllabic									
ç̩ʲː	ç̩ʲː	syllabic palatalized long voiceless palatal sibilant fricative consonant	nidaba	sibilant													long															fricative					palatalized				voiceless		palatal																consonant				syllabic									
ç̩ʷ	ç̩ʷ	syllabic labialized voiceless palatal sibilant fricative consonant	nidaba	sibilant																								labialized				fricative									voiceless		palatal																consonant				syllabic									
ç̩ʷː	ç̩ʷː	syllabic labialized long voiceless palatal sibilant fricative consonant	nidaba	sibilant													long											labialized				fricative									voiceless		palatal																consonant				syllabic									
ç̩ː	ç̩ː	syllabic long voiceless palatal sibilant fricative consonant	nidaba	sibilant													long															fricative									voiceless		palatal																consonant				syllabic									
çᶣ	çᶣ	labio-palatalized voiceless palatal sibilant fricative consonant	panphon	sibilant																												fricative					labio-palatalized				voiceless		palatal																consonant													
ë	ë	centralized unrounded close-mid front vowel	panphon;phoible									front														close-mid																							centralized						unrounded				vowel													
ëː	ëː	long centralized unrounded close-mid front vowel	phoible									front					long									close-mid																							centralized						unrounded				vowel													
ë̞	ë̞	centralized unrounded mid front vowel	phoible									front														mid																							centralized						unrounded				vowel													
ï	ï	centralized unrounded close front vowel	panphon;phoible									front														close																							centralized						unrounded				vowel													
ð	ð	voiced dental fricative consonant	apics;aus;bdproto;bipa;chomsky;diachronica;eurasian;gld;jipa;lapsyd;multimedia;napa;nidaba;panphon;pbase;phoible;ruhlen;sala;saphon;segbo;wiki																													fricative									voiced		dental																consonant													
ðʲ	ðʲ	palatalized voiced dental fricative consonant	bdproto;diachronica;eurasian;nidaba;panphon;pbase;phoible;ruhlen																													fricative					palatalized				voiced		dental																consonant													
ðʲʷ	ðʲʷ	palatalized labialized voiced dental fricative consonant	panphon																									labialized				fricative					palatalized				voiced		dental																consonant													
ðʲː	ðʲː	palatalized long voiced dental fricative consonant	nidaba;panphon														long															fricative					palatalized				voiced		dental																consonant													
ðʷ	ðʷ	labialized voiced dental fricative consonant	gld;nidaba;panphon																									labialized				fricative									voiced		dental																consonant													
ðʷˀ	ðʷˀ	labialized glottalized voiced dental fricative consonant	gld;panphon																					glottalized				labialized				fricative									voiced		dental																consonant													
ðʷː	ðʷː	labialized long voiced dental fricative consonant	gld;nidaba;panphon														long											labialized				fricative									voiced		dental																consonant													
ðʷˠ	ðʷˠ	labialized velarized voiced dental fricative consonant	gld;panphon																									labialized				fricative									voiced		dental																consonant										velarized			
ðʷˤ	ðʷˤ	labialized pharyngealized voiced dental fricative consonant	gld;panphon																									labialized				fricative							pharyngealized		voiced		dental																consonant													
ðʸ	ðʲ	palatalized voiced dental fricative consonant	gld																													fricative					palatalized				voiced		dental																consonant													
ðʸʷ	ðʲʷ	palatalized labialized voiced dental fricative consonant	gld																									labialized				fricative					palatalized				voiced		dental																consonant													
ðʸː	ðʲː	palatalized long voiced dental fricative consonant	gld														long															fricative					palatalized				voiced		dental																consonant													
ðʼ	ðʼ	voiced dental ejective fricative consonant	eurasian																ejective													fricative									voiced		dental																consonant													
ðˀ	ðˀ	glottalized voiced dental fricative consonant	gld;panphon																					glottalized								fricative									voiced		dental																consonant													
ðˁ	ðˤ	pharyngealized voiced dental fricative consonant	bdproto																													fricative							pharyngealized		voiced		dental																consonant													
ðˁː	ðˤː	pharyngealized long voiced dental fricative consonant	bdproto														long															fricative							pharyngealized		voiced		dental																consonant													
ðː	ðː	long voiced dental fricative consonant	bdproto;bipa;diachronica;eurasian;gld;nidaba;panphon;phoible														long															fricative									voiced		dental																consonant													
ðːʲ	ðʲː	palatalized long voiced dental fricative consonant	panphon														long															fricative					palatalized				voiced		dental																consonant													
ðːʷ	ðʷː	labialized long voiced dental fricative consonant	panphon														long											labialized				fricative									voiced		dental																consonant													
ðːˠ	ðˠː	velarized long voiced dental fricative consonant	panphon														long															fricative									voiced		dental																consonant										velarized			
ðːˤ	ðˤː	pharyngealized long voiced dental fricative consonant	panphon														long															fricative							pharyngealized		voiced		dental																consonant													
ðˠ	ðˠ	velarized voiced dental fricative consonant	gld;panphon;pbase;phoible;segbo																													fricative									voiced		dental																consonant										velarized			
ðˠː	ðˠː	velarized long voiced dental fricative consonant	gld														long															fricative									voiced		dental																consonant										velarized			
ðˤ	ðˤ	pharyngealized voiced dental fricative consonant	diachronica;eurasian;gld;jipa;panphon;pbase;phoible;segbo																													fricative							pharyngealized		voiced		dental																consonant													
ðˤː	ðˤː	pharyngealized long voiced dental fricative consonant	gld;panphon														long															fricative							pharyngealized		voiced		dental																consonant													
ð̃	ð̃	nasalized voiced dental fricative consonant	gld;napa;panphon																													fricative			nasalized						voiced		dental																consonant													
ð̃ː	ð̃ː	nasalized long voiced dental fricative consonant	gld;panphon														long															fricative			nasalized						voiced		dental																consonant													
ð̃ˤ	ð̃ˤ	nasalized pharyngealized voiced dental fricative consonant	gld;panphon																													fricative			nasalized				pharyngealized		voiced		dental																consonant													
ð̙	ð̙	voiceless retracted-tongue-root dental fricative consonant	bipa																													fricative									voiceless		dental																consonant								retracted-tongue-root					
ð̙ˀ	ð̙ˀ	glottalized voiceless retracted-tongue-root dental fricative consonant	bipa																					glottalized								fricative									voiceless		dental																consonant								retracted-tongue-root					
ð̚	ð̚	unreleased voiced dental fricative consonant	bipa;gld																													fricative									voiced		dental								unreleased								consonant													
ð̝	ð̝	raised voiced dental fricative consonant	panphon																													fricative									voiced		dental				raised												consonant													
ð̞	ɹ̪	voiced dental approximant consonant	bipa;eurasian;jipa;lapsyd;panphon;phoible;saphon																													approximant									voiced		dental																consonant													
ð̞ʲ	ɹ̪ʲ	palatalized voiced dental approximant consonant	lapsyd																													approximant					palatalized				voiced		dental																consonant													
ð̟	ð̟	advanced voiced dental fricative consonant	panphon																													fricative									voiced		dental						advanced										consonant													
ð̠	ð̠	voiced alveolar fricative consonant	bipa;lapsyd;panphon;wiki																													fricative									voiced		alveolar																consonant													
ð̤	ðʱ	breathy voiced dental fricative consonant	panphon							breathy																						fricative									voiced		dental																consonant													
ð̤ʲ	ðʲʱ	palatalized breathy voiced dental fricative consonant	panphon							breathy																						fricative					palatalized				voiced		dental																consonant													
ð̤ʷ	ðʷʱ	labialized breathy voiced dental fricative consonant	panphon							breathy																		labialized				fricative									voiced		dental																consonant													
ð̤ː	ðʱː	long breathy voiced dental fricative consonant	panphon							breathy							long															fricative									voiced		dental																consonant													
ð̤ˠ	ðˠʱ	velarized breathy voiced dental fricative consonant	panphon							breathy																						fricative									voiced		dental																consonant										velarized			
ð̤ˤ	ðˤʱ	pharyngealized breathy voiced dental fricative consonant	panphon							breathy																						fricative							pharyngealized		voiced		dental																consonant													
ð̩	ð̩	syllabic voiced dental fricative consonant	gld;nidaba;panphon																													fricative									voiced		dental																consonant				syllabic									
ð̩ʲ	ð̩ʲ	syllabic palatalized voiced dental fricative consonant	nidaba																													fricative					palatalized				voiced		dental																consonant				syllabic									
ð̩ʲː	ð̩ʲː	syllabic palatalized long voiced dental fricative consonant	nidaba														long															fricative					palatalized				voiced		dental																consonant				syllabic									
ð̩ʷ	ð̩ʷ	syllabic labialized voiced dental fricative consonant	gld;nidaba																									labialized				fricative									voiced		dental																consonant				syllabic									
ð̩ʷː	ð̩ʷː	syllabic labialized long voiced dental fricative consonant	gld;nidaba														long											labialized				fricative									voiced		dental																consonant				syllabic									
ð̩ʸ	ð̩ʲ	syllabic palatalized voiced dental fricative consonant	gld																													fricative					palatalized				voiced		dental																consonant				syllabic									
ð̩ʸː	ð̩ʲː	syllabic palatalized long voiced dental fricative consonant	gld														long															fricative					palatalized				voiced		dental																consonant				syllabic									
ð̩ː	ð̩ː	syllabic long voiced dental fricative consonant	gld;nidaba														long															fricative									voiced		dental																consonant				syllabic									
ð̪	ð	voiced dental fricative consonant	phoible																													fricative									voiced		dental																consonant													
ð̪ʲ	ðʲ	palatalized voiced dental fricative consonant	bdproto																													fricative					palatalized				voiced		dental																consonant													
ð̪ʼ	ðʼ	voiced dental ejective fricative consonant	bdproto																ejective													fricative									voiced		dental																consonant													
ð̪̙ˤ	ð̙ˤ	pharyngealized voiceless retracted-tongue-root dental fricative consonant	phoible																													fricative							pharyngealized		voiceless		dental																consonant								retracted-tongue-root					
ð̪̺	ð̺	voiced apical dental fricative consonant	phoible																											apical		fricative									voiced		dental																consonant													
ð̰	ð̰	creaky voiced dental fricative consonant	panphon												creaky																	fricative									voiced		dental																consonant													
ð̰ʲ	ð̰ʲ	palatalized creaky voiced dental fricative consonant	panphon												creaky																	fricative					palatalized				voiced		dental																consonant													
ð̰ʷ	ð̰ʷ	labialized creaky voiced dental fricative consonant	panphon												creaky													labialized				fricative									voiced		dental																consonant													
ð̰ː	ð̰ː	long creaky voiced dental fricative consonant	panphon												creaky		long															fricative									voiced		dental																consonant													
ð̰ˠ	ð̰ˠ	velarized creaky voiced dental fricative consonant	panphon												creaky																	fricative									voiced		dental																consonant										velarized			
ð̰ˤ	ð̰ˤ	pharyngealized creaky voiced dental fricative consonant	panphon												creaky																	fricative							pharyngealized		voiced		dental																consonant													
ð̰̃	ð̰̃	nasalized creaky voiced dental fricative consonant	panphon												creaky																	fricative			nasalized						voiced		dental																consonant													
ð̺	ð̺	voiced apical dental fricative consonant	panphon																											apical		fricative									voiced		dental																consonant													
ð̺̞	ɹ̪̺	voiced apical dental approximant consonant	eurasian;phoible																											apical		approximant									voiced		dental																consonant													
ð̺̪	ð̠	voiced alveolar fricative consonant	eurasian																													fricative									voiced		alveolar																consonant													
ð̻	ð̻	voiced laminal dental fricative consonant	panphon																											laminal		fricative									voiced		dental																consonant													
ð̼	ð̼	voiced linguolabial fricative consonant	bipa;wiki																													fricative									voiced		linguolabial																consonant													
ð͇ˠ	ð̠ˠ	velarized voiced alveolar fricative consonant	eurasian;phoible																													fricative									voiced		alveolar																consonant										velarized			
ð͉	ð̚	unreleased voiced dental fricative consonant	bipa;phoible																													fricative									voiced		dental								unreleased								consonant													
ðᶣ	ðᶣ	labio-palatalized voiced dental fricative consonant	gld;panphon																													fricative					labio-palatalized				voiced		dental																consonant													
ð’	ðʼ	voiced dental ejective fricative consonant	bdproto;phoible																ejective													fricative									voiced		dental																consonant													
õ	õ	nasalized rounded close-mid back vowel	allenbai;aus;bdproto;beidasinitic;panphon;pbase;phoible;segbo									back														close-mid									nasalized																				rounded				vowel													
õi	õi	from nasalized rounded close-mid back to unrounded close front diphthong	phoible									front														close									nasalized																				unrounded				diphthong													
õi̯	õi̯	from nasalized rounded close-mid back to non-syllabic unrounded close front diphthong	phoible									front														close									nasalized																				unrounded				diphthong				non-syllabic									
õu	õu	from nasalized rounded close-mid back to rounded close back diphthong	allenbai									back														close									nasalized																				rounded				diphthong													
õã	õã	from nasalized rounded close-mid back to nasalized unrounded open front diphthong	phoible									front														open									nasalized																				unrounded				diphthong													
õĩ	õĩ	from nasalized rounded close-mid back to nasalized unrounded close front diphthong	beidasinitic									front														close									nasalized																				unrounded				diphthong													
õũ	õũ	from nasalized rounded close-mid back to nasalized rounded close back diphthong	beidasinitic;phoible									back														close									nasalized																				rounded				diphthong													
õɪ̯̃	õɪ̯̃	from nasalized rounded close-mid back to non-syllabic nasalized unrounded near-close near-front diphthong	phoible									near-front														near-close									nasalized																				unrounded				diphthong				non-syllabic									
õʔ	õˀ	glottalized nasalized rounded close-mid back vowel	pbase									back												glottalized		close-mid									nasalized																				rounded				vowel													
õʲ	õi	from nasalized rounded close-mid back to unrounded close front diphthong	phoible									front														close									nasalized																				unrounded				diphthong													
õː	õː	long nasalized rounded close-mid back vowel	bdproto;panphon;pbase;phoible									back					long									close-mid									nasalized																				rounded				vowel													
õˤ	õˤ	pharyngealized nasalized rounded close-mid back vowel	panphon;pbase;phoible									back														close-mid									nasalized				pharyngealized																rounded				vowel													
õ̝	õ̝	raised nasalized rounded close-mid back vowel	pbase									back														close-mid									nasalized												raised								rounded				vowel													
õ̞	õ̞	nasalized rounded mid back vowel	phoible									back														mid									nasalized																				rounded				vowel													
õ̞ã	õ̞ã	from nasalized rounded mid back to nasalized unrounded open front diphthong	phoible									front														open									nasalized																				unrounded				diphthong													
õ̞ãˤ	õ̞ãˤ	from nasalized rounded mid back to pharyngealized nasalized unrounded open front diphthong	phoible									front														open									nasalized				pharyngealized																unrounded				diphthong													
õ̞ĩ	õ̞ĩ	from nasalized rounded mid back to nasalized unrounded close front diphthong	phoible									front														close									nasalized																				unrounded				diphthong													
õ̞ĩˤ	õ̞ĩˤ	from nasalized rounded mid back to pharyngealized nasalized unrounded close front diphthong	phoible									front														close									nasalized				pharyngealized																unrounded				diphthong													
õ̞ũ	õ̞ũ	from nasalized rounded mid back to nasalized rounded close back diphthong	phoible									back														close									nasalized																				rounded				diphthong													
õ̞ː	õ̞ː	long nasalized rounded mid back vowel	phoible									back					long									mid									nasalized																				rounded				vowel													
õ̞ˤ	õ̞ˤ	pharyngealized nasalized rounded mid back vowel	phoible									back														mid									nasalized				pharyngealized																rounded				vowel													
õ̞̰	õ̞̰	nasalized creaky rounded mid back vowel	phoible									back			creaky											mid									nasalized																				rounded				vowel													
õ̤	õ̤	nasalized breathy rounded close-mid back vowel	pbase							breathy		back														close-mid									nasalized																				rounded				vowel													
õ̤ʔ	õ̤ˀ	glottalized nasalized breathy rounded close-mid back vowel	pbase							breathy		back												glottalized		close-mid									nasalized																				rounded				vowel													
õ̤ˤ	õ̤ˤ	pharyngealized nasalized breathy rounded close-mid back vowel	pbase							breathy		back														close-mid									nasalized				pharyngealized																rounded				vowel													
õ̰	õ̰	nasalized creaky rounded close-mid back vowel	panphon;phoible									back			creaky											close-mid									nasalized																				rounded				vowel													
ö	ö	centralized rounded close-mid back vowel	panphon;phoible									back														close-mid																							centralized						rounded				vowel													
ö̞	ö̞	centralized rounded mid back vowel	phoible									back														mid																							centralized						rounded				vowel													
ø	ø	rounded close-mid front vowel	apics;aus;bdpa;bdproto;beidasinitic;bipa;diachronica;eurasian;jipa;lapsyd;nidaba;panphon;pbase;phoible;ruhlen;sala;saphon;wiki									front														close-mid																													rounded				vowel													
øe	øe	from rounded close-mid front to unrounded close-mid front diphthong	eurasian;jipa									front														close-mid																													unrounded				diphthong													
øi	øi	from rounded close-mid front to unrounded close front diphthong	eurasian;jipa;lapsyd									front														close																													unrounded				diphthong													
øu	øu	from rounded close-mid front to rounded close back diphthong	eurasian;phoible									back														close																													rounded				diphthong													
øu̯	øu̯	from rounded close-mid front to non-syllabic rounded close back diphthong	phoible									back														close																													rounded				diphthong				non-syllabic									
øy	øy	from rounded close-mid front to rounded close front diphthong	beidasinitic;eurasian;jipa;lapsyd;phoible									front														close																													rounded				diphthong													
øy̯	øy̯	from rounded close-mid front to non-syllabic rounded close front diphthong	eurasian;phoible									front														close																													rounded				diphthong				non-syllabic									
øø̥	ø̥ː	long devoiced rounded close-mid front vowel	lapsyd									front					long									close-mid																													rounded				vowel												devoiced	
øɑ	øɑ	from rounded close-mid front to unrounded open back diphthong	eurasian;jipa									back														open																													unrounded				diphthong													
øɘ	øɘ	from rounded close-mid front to unrounded close-mid central diphthong	phoible									central														close-mid																													unrounded				diphthong													
øə	øə	from rounded close-mid front to unrounded mid central diphthong	eurasian;pbase;phoible									central														mid																													unrounded				diphthong													
øɪ	øɪ	from rounded close-mid front to unrounded near-close near-front diphthong	eurasian;jipa;phoible									near-front														near-close																													unrounded				diphthong													
øɪ̯	øɪ̯	from rounded close-mid front to non-syllabic unrounded near-close near-front diphthong	eurasian;phoible									near-front														near-close																													unrounded				diphthong				non-syllabic									
øʌ̯	øʌ̯	from rounded close-mid front to non-syllabic unrounded open-mid back diphthong	phoible									back														open-mid																													unrounded				diphthong				non-syllabic									
øˀ	øˀ	glottalized rounded close-mid front vowel	panphon									front												glottalized		close-mid																													rounded				vowel													
øː	øː	long rounded close-mid front vowel	aus;bdproto;bipa;diachronica;eurasian;jipa;lapsyd;nidaba;panphon;pbase;phoible;saphon									front					long									close-mid																													rounded				vowel													
øːy̯	øːy̯	from long rounded close-mid front to non-syllabic rounded close front diphthong	eurasian;phoible									front					long									close																													rounded				diphthong				non-syllabic									
øːː	øːː	ultra-long rounded close-mid front vowel	bipa;eurasian;jipa									front					ultra-long									close-mid																													rounded				vowel													
øːˠ	øˠː	long velarized rounded close-mid front vowel	panphon									front					long									close-mid																													rounded				vowel										velarized			
øːˤ	øˤː	long pharyngealized rounded close-mid front vowel	panphon									front					long									close-mid													pharyngealized																rounded				vowel													
øˑ	øˑ	mid-long rounded close-mid front vowel	bipa;eurasian;jipa;phoible									front					mid-long									close-mid																													rounded				vowel													
ø˞	ø˞	rhotacized rounded close-mid front vowel	panphon									front														close-mid																											rhotacized		rounded				vowel													
øˠ	øˠ	velarized rounded close-mid front vowel	panphon									front														close-mid																													rounded				vowel										velarized			
øˤ	øˤ	pharyngealized rounded close-mid front vowel	panphon									front														close-mid													pharyngealized																rounded				vowel													
øˤː	øˤː	long pharyngealized rounded close-mid front vowel	panphon									front					long									close-mid													pharyngealized																rounded				vowel													
ø̃	ø̃	nasalized rounded close-mid front vowel	bipa;eurasian;lapsyd;nidaba;panphon;phoible;saphon									front														close-mid									nasalized																				rounded				vowel													
ø̃ː	ø̃ː	long nasalized rounded close-mid front vowel	bipa;eurasian;lapsyd;nidaba;panphon;phoible									front					long									close-mid									nasalized																				rounded				vowel													
ø̃ˤ	ø̃ˤ	pharyngealized nasalized rounded close-mid front vowel	panphon									front														close-mid									nasalized				pharyngealized																rounded				vowel													
ø̥̃	ø̥̃	nasalized devoiced rounded close-mid front vowel	nidaba									front														close-mid									nasalized																				rounded				vowel												devoiced	
ø̥̃ː	ø̥̃ː	long nasalized devoiced rounded close-mid front vowel	nidaba									front					long									close-mid									nasalized																				rounded				vowel												devoiced	
ø̄	øː	long rounded close-mid front vowel	upa									front					long									close-mid																													rounded				vowel													
ø̄y̯	øːy̯	from long rounded close-mid front to non-syllabic rounded close front diphthong	upa									front					long									close																													rounded				diphthong				non-syllabic									
ø̆	ø̆	ultra-short rounded close-mid front vowel	lapsyd;panphon;pbase;phoible									front					ultra-short									close-mid																													rounded				vowel													
ø̆	øˑ	mid-long rounded close-mid front vowel	upa									front					mid-long									close-mid																													rounded				vowel													
ø̈	ø̈	centralized rounded close-mid front vowel	eurasian;panphon									front														close-mid																							centralized						rounded				vowel													
ø̘	ø̘	advanced-tongue-root rounded close-mid front vowel	panphon									front														close-mid																													rounded				vowel								advanced-tongue-root					
ø̘ː	ø̘ː	long advanced-tongue-root rounded close-mid front vowel	panphon									front					long									close-mid																													rounded				vowel								advanced-tongue-root					
ø̘ˠ	ø̘ˠ	velarized advanced-tongue-root rounded close-mid front vowel	panphon									front														close-mid																													rounded				vowel								advanced-tongue-root		velarized			
ø̙	ø̙	retracted-tongue-root rounded close-mid front vowel	panphon									front														close-mid																													rounded				vowel								retracted-tongue-root					
ø̙ː	ø̙ː	long retracted-tongue-root rounded close-mid front vowel	panphon									front					long									close-mid																													rounded				vowel								retracted-tongue-root					
ø̙ˠ	ø̙ˠ	velarized retracted-tongue-root rounded close-mid front vowel	panphon									front														close-mid																													rounded				vowel								retracted-tongue-root		velarized			
ø̝	ø̝	raised rounded close-mid front vowel	panphon									front														close-mid																					raised								rounded				vowel													
ø̞	ø̞	rounded mid front vowel	bipa;eurasian;panphon;phoible;wiki									front														mid																													rounded				vowel													
ø̞ː	ø̞ː	long rounded mid front vowel	bipa;eurasian;phoible									front					long									mid																													rounded				vowel													
ø̞ˤ	ø̞ˤ	pharyngealized rounded mid front vowel	phoible									front														mid													pharyngealized																rounded				vowel													
ø̞̃	ø̞̃	nasalized rounded mid front vowel	bipa									front														mid									nasalized																				rounded				vowel													
ø̞̃ː	ø̞̃ː	long nasalized rounded mid front vowel	bipa									front					long									mid									nasalized																				rounded				vowel													
