grapheme	normalized	name	datasets	airstream	airstream2	articulation	articulation2	aspiration	aspiration2	breathiness	breathiness2	centrality	centrality2	contour	creakiness	creakiness2	duration	duration2	ejection	ejection2	end	friction	friction2	glottalization	glottalization2	height	height2	labialization	labialization2	laminality	laminality2	manner	manner2	middle	nasalization	nasalization2	palatalization	palatalization2	pharyngealization	pharyngealization2	phonation	phonation2	place	place2	preceding	preceding2	raising	raising2	relative_articulation	relative_articulation2	release	release2	rhotacization	rhotacization2	roundedness	roundedness2	rounding	rounding2	sound_type	start	stress	stress2	syllabicity	syllabicity2	tone	tone2	tongue_root	tongue_root2	velarization	velarization2	voicing	voicing2
ai̯	ɑi̯	from unrounded open back to non-syllabic unrounded close front diphthong	upa									front														close																													unrounded				diphthong				non-syllabic									
ai̯ː	ai̯ː	from unrounded open front to long non-syllabic unrounded close front diphthong	eurasian;gld;phoible									front					long									close																													unrounded				diphthong				non-syllabic									
aj	ai̯	from unrounded open front to non-syllabic unrounded close front diphthong	bdproto;eurasian;jipa									front														close																													unrounded				diphthong				non-syllabic									
aj	ai	from unrounded open front to unrounded close front diphthong	pbase									front														close																													unrounded				diphthong													
ao	ao	from unrounded open front to rounded close-mid back diphthong	allenbai;bdpa;eurasian;gld;lapsyd;napa;pbase;phoible									back														close-mid																													rounded				diphthong													
ao	ɑo	from unrounded open back to rounded close-mid back diphthong	upa									back														close-mid																													rounded				diphthong													
ao̞	ao̞	from unrounded open front to rounded mid back diphthong	phoible									back														mid																													rounded				diphthong													
ao̞ˤ	ao̞ˤ	from unrounded open front to pharyngealized rounded mid back diphthong	phoible									back														mid													pharyngealized																rounded				diphthong													
ao̯	ao̯	from unrounded open front to non-syllabic rounded close-mid back diphthong	gld;jipa									back														close-mid																													rounded				diphthong				non-syllabic									
au	ɑu	from unrounded open back to rounded close back diphthong	upa									back														close																													rounded				diphthong													
au	au	from unrounded open front to rounded close back diphthong	apics;bdpa;bdproto;beidasinitic;eurasian;gld;jipa;lapsyd;napa;pbase;phoible;segbo									back														close																													rounded				diphthong													
auː	auː	from unrounded open front to long rounded close back diphthong	eurasian;gld;phoible									back					long									close																													rounded				diphthong													
aū	ɑuː	from unrounded open back to long rounded close back diphthong	upa									back					long									close																													rounded				diphthong													
aü	ay	from unrounded open front to rounded close front diphthong	gld;napa									front														close																													rounded				diphthong													
aü	ɑy	from unrounded open back to rounded close front diphthong	upa									front														close																													rounded				diphthong													
au̜	au̜	from unrounded open front to less-rounded rounded close back diphthong	phoible									back														close																													rounded		less-rounded		diphthong													
au̯	au̯	from unrounded open front to non-syllabic rounded close back diphthong	eurasian;gld;jipa;phoible									back														close																													rounded				diphthong				non-syllabic									
au̯	ɑu̯	from unrounded open back to non-syllabic rounded close back diphthong	upa									back														close																													rounded				diphthong				non-syllabic									
aw	au̯	from unrounded open front to non-syllabic rounded close back diphthong	bdproto;eurasian;jipa									back														close																													rounded				diphthong				non-syllabic									
ay	ay	from unrounded open front to rounded close front diphthong	phoible									front														close																													rounded				diphthong													
aı	aɪ	from unrounded open front to unrounded near-close near-front diphthong	gld									near-front														near-close																													unrounded				diphthong													
aı̃	aɪ̃	from unrounded open front to nasalized unrounded near-close near-front diphthong	gld									near-front														near-close									nasalized																				unrounded				diphthong													
aı̯	aɪ̯	from unrounded open front to non-syllabic unrounded near-close near-front diphthong	gld									near-front														near-close																													unrounded				diphthong				non-syllabic									
aɔ	aɔ	from unrounded open front to rounded open-mid back diphthong	gld;napa;phoible									back														open-mid																													rounded				diphthong													
aə	aə	from unrounded open front to unrounded mid central diphthong	eurasian;gld;lapsyd;napa;phoible									central														mid																													unrounded				diphthong													
aɛ	aɛ	from unrounded open front to unrounded open-mid front diphthong	eurasian;gld;jipa;napa;phoible									front														open-mid																													unrounded				diphthong													
aɛ̯	aɛ̯	from unrounded open front to non-syllabic unrounded open-mid front diphthong	gld;jipa									front														open-mid																													unrounded				diphthong				non-syllabic									
aɨ	aɨ	from unrounded open front to unrounded close central diphthong	gld;lapsyd;napa;phoible									central														close																													unrounded				diphthong													
aɪ	aɪ	from unrounded open front to unrounded near-close near-front diphthong	eurasian;jipa;lapsyd;napa;pbase;phoible									near-front														near-close																													unrounded				diphthong													
aɪ̃	aɪ̃	from unrounded open front to nasalized unrounded near-close near-front diphthong	eurasian;jipa;napa;phoible									near-front														near-close									nasalized																				unrounded				diphthong													
aɪ̯	aɪ̯	from unrounded open front to non-syllabic unrounded near-close near-front diphthong	phoible									near-front														near-close																													unrounded				diphthong				non-syllabic									
aɯ	aɯ	from unrounded open front to unrounded close back diphthong	bdpa;bdproto;eurasian;gld;phoible									back														close																													unrounded				diphthong													
aɯ̃	aɯ̃	from unrounded open front to nasalized unrounded close back diphthong	eurasian;gld;phoible									back														close									nasalized																				unrounded				diphthong													
aɯ̯	aɯ̯	from unrounded open front to non-syllabic unrounded close back diphthong	gld									back														close																													unrounded				diphthong				non-syllabic									
aɰ	aɯ̯	from unrounded open front to non-syllabic unrounded close back diphthong	eurasian									back														close																													unrounded				diphthong				non-syllabic									
aɵ̯	aɵ̯	from unrounded open front to non-syllabic rounded close-mid central diphthong	eurasian;jipa;phoible									central														close-mid																													rounded				diphthong				non-syllabic									
aʉ	aʉ	from unrounded open front to rounded close central diphthong	gld;lapsyd;napa;pbase									central														close																													rounded				diphthong													
aʊ	aʊ	from unrounded open front to rounded near-close near-back diphthong	eurasian;jipa;lapsyd;pbase;phoible									near-back														near-close																													rounded				diphthong													
aʊ̃	aʊ̃	from unrounded open front to nasalized rounded near-close near-back diphthong	eurasian;jipa;phoible									near-back														near-close									nasalized																				rounded				diphthong													
aʊ̯	aʊ̯	from unrounded open front to non-syllabic rounded near-close near-back diphthong	phoible									near-back														near-close																													rounded				diphthong				non-syllabic									
aʔ	aˀ	glottalized unrounded open front vowel	jipa;pbase									front												glottalized		open																													unrounded				vowel													
aʱ	a̤	breathy unrounded open front vowel	phoible							breathy		front														open																													unrounded				vowel													
aʲ	ai	from unrounded open front to unrounded close front diphthong	phoible									front														close																													unrounded				diphthong													
aʲ	aĭ	from unrounded open front to ultra-short unrounded close front diphthong	saphon									front					ultra-short									close																													unrounded				diphthong													
aʲː	aiː	from unrounded open front to long unrounded close front diphthong	phoible									front					long									close																													unrounded				diphthong													
aʲː	aːĭ	from long unrounded open front to ultra-short unrounded close front diphthong	saphon									front					ultra-short									close																													unrounded				diphthong													
aˀ	aˀ	glottalized unrounded open front vowel	gld;lapsyd;panphon;phoible									front												glottalized		open																													unrounded				vowel													
aː	aː	long unrounded open front vowel	apics;aus;bdproto;bipa;diachronica;eurasian;gld;jipa;lapsyd;nidaba;panphon;pbase;phoible;ruhlen;saphon;segbo									front					long									open																													unrounded				vowel													
aːa	aːa	from long unrounded open front to unrounded open front diphthong	gld									front					long									open																													unrounded				diphthong													
aːi	aːi	from long unrounded open front to unrounded close front diphthong	bdproto;eurasian;gld;jipa;phoible									front					long									close																													unrounded				diphthong													
aːi̯	aːi̯	from long unrounded open front to non-syllabic unrounded close front diphthong	eurasian;gld;phoible									front					long									close																													unrounded				diphthong				non-syllabic									
aːj	aːi̯	from long unrounded open front to non-syllabic unrounded close front diphthong	bdproto									front					long									close																													unrounded				diphthong				non-syllabic									
aːu	aːu	from long unrounded open front to rounded close back diphthong	bdproto;eurasian;gld;jipa;phoible									back					long									close																													rounded				diphthong													
aːu̯	aːu̯	from long unrounded open front to non-syllabic rounded close back diphthong	eurasian;gld;phoible									back					long									close																													rounded				diphthong				non-syllabic									
aːw	aːu̯	from long unrounded open front to non-syllabic rounded close back diphthong	bdproto									back					long									close																													rounded				diphthong				non-syllabic									
aːĭ	aːĭ	from long unrounded open front to ultra-short unrounded close front diphthong	phoible									front					ultra-short									close																													unrounded				diphthong													
aːı	aːɪ	from long unrounded open front to unrounded near-close near-front diphthong	gld									near-front					long									near-close																													unrounded				diphthong													
aːŭ	aːŭ	from long unrounded open front to ultra-short rounded close back diphthong	phoible									back					ultra-short									close																													rounded				diphthong													
aːɨ	aːɨ	from long unrounded open front to unrounded close central diphthong	gld;lapsyd									central					long									close																													unrounded				diphthong													
aːɪ	aːɪ	from long unrounded open front to unrounded near-close near-front diphthong	eurasian;phoible									near-front					long									near-close																													unrounded				diphthong													
aːɯ	aːɯ	from long unrounded open front to unrounded close back diphthong	eurasian;gld									back					long									close																													unrounded				diphthong													
aːː	aː	long unrounded open front vowel	pbase									front					long									open																													unrounded				vowel													
aːˠ	aˠː	long velarized unrounded open front vowel	panphon									front					long									open																													unrounded				vowel										velarized			
aːˤ	aˤː	long pharyngealized unrounded open front vowel	panphon									front					long									open													pharyngealized																unrounded				vowel													
aː̃	ãː	long nasalized unrounded open front vowel	eurasian									front					long									open									nasalized																				unrounded				vowel													
aˑ	aˑ	mid-long unrounded open front vowel	bdproto;bipa;gld;jipa;phoible									front					mid-long									open																													unrounded				vowel													
a˞	a˞	rhotacized unrounded open front vowel	bipa;eurasian;gld;jipa;panphon;phoible									front														open																											rhotacized		unrounded				vowel													
a˞ː	a˞ː	long rhotacized unrounded open front vowel	eurasian;gld;phoible									front					long									open																											rhotacized		unrounded				vowel													
a˞ˤ	a˞ˤ	rhotacized pharyngealized unrounded open front vowel	eurasian;gld;phoible									front														open													pharyngealized														rhotacized		unrounded				vowel													
